rank,eligible,parameter_json,market_return20_min,residual_z_max,spacing_atr_multiplier,lower_level_enabled,stop_steps,maximum_horizon,executed_campaigns,total_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,positive_halfyear_fraction,worst_return,p10_return,campaign_return_sharpe,robust_score
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.5,1.0,False,3,20,39,-1008917,25073,0.6454726933536299,-1833264,-1288601,0.5,-0.1024936985515445,-0.07311823446189648,-2.340526641668255,-2.4100530495595014
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.0,""stop_steps"":2}",0.0,-0.5,1.0,True,2,10,42,-1938567,-14136.5,0.4921007830049722,-2927236,-2218251,0.25,-0.08539388932600325,-0.05922882326921476,-2.4271694808033235,-2.484673631283629
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.0,""stop_steps"":2}",0.0,-0.5,1.0,True,2,15,41,-1594123,2676,0.5409147589988452,-2538652,-1873807,0.25,-0.08539388932600325,-0.05943384116852515,-2.3065332624931587,-2.3640886674482915
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.0,""stop_steps"":2}",0.0,-0.5,1.0,True,2,20,40,-1651617,-14136.5,0.5202225730690072,-2553650,-1931301,0.25,-0.08539388932600325,-0.059440250987105966,-2.350521971957144,-2.408078979366922
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.5,1.0,True,3,10,42,-1936515,13874.5,0.5014075825625572,-2942730,-2216199,0.25,-0.1017340979278427,-0.06721028121860383,-2.2861770464085818,-2.3538466656771537
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.5,1.0,True,3,15,39,-1868155,25073,0.5023405104369291,-2811219,-2147839,0.25,-0.1017340979278427,-0.06871876633013023,-2.440448541951358,-2.5084952824978117
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.0,""stop_steps"":3}",0.0,-0.5,1.0,True,3,20,38,-1960562,-2938.0,0.47841718388771093,-2861043,-2240246,0.25,-0.1017340979278427,-0.07401485205234247,-2.5134778608653834,-2.58284862284239
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":2}",0.0,-0.5,1.25,False,2,10,42,-1398964,-57520.0,0.5758982760230542,-2317850,-1678648,0.5,-0.07998250739975105,-0.05954479298893475,-2.4914537118885813,-2.5463311638356902
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":2}",0.0,-0.5,1.25,False,2,15,41,-1248932,-57007,0.6033398758821324,-2123092,-1528616,0.25,-0.07998250739975105,-0.06586865763708602,-2.4678924408327143,-2.5243508589418613
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":2}",0.0,-0.5,1.25,False,2,20,40,-1336351,-47493.5,0.5715031447448372,-2167940,-1616035,0.25,-0.07998250739975105,-0.06613418566483618,-2.5289969337244855,-2.58552173384057
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":3}",0.0,-0.5,1.25,False,3,10,41,-986238,-30949,0.6710837310114203,-1897298,-1265922,0.25,-0.11500030591990114,-0.059497939354333305,-2.1440439426279685,-2.2164185804265024
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":3}",0.0,-0.5,1.25,False,3,15,38,-872991,-43978.0,0.6961769055177001,-1721012,-1152675,0.25,-0.11500030591990114,-0.06849006354441645,-2.182952827297565,-2.2575754961436196
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":3}",0.0,-0.5,1.25,False,3,20,37,-1015273,-37980,0.6496994263170951,-1820486,-1294957,0.25,-0.11500030591990114,-0.07837410053636179,-2.28765583261756,-2.3647495107116008
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":2}",0.0,-0.5,1.25,True,2,10,41,-1960417,-70249,0.4833299994122811,-2910550,-2240101,0.25,-0.09042168459115582,-0.05954999894833491,-2.7026666292814454,-2.7627649713141067
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":2}",0.0,-0.5,1.25,True,2,15,40,-1810385,-62456.0,0.503228192856843,-2715792,-2090069,0.25,-0.09042168459115582,-0.06613418566483618,-2.6747527832820075,-2.7364971719937943
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":2}",0.0,-0.5,1.25,True,2,20,39,-1897804,-57007,0.47492871518000074,-2760640,-2177488,0.25,-0.09042168459115582,-0.06639971369258636,-2.7401610164850134,-2.8019717872037377
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":3}",0.0,-0.5,1.25,True,3,10,41,-1482873,-30949,0.5768178485722871,-2475352,-1762557,0.25,-0.11359979655068299,-0.059497939354333305,-2.225629547157568,-2.2973039302714926
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":3}",0.0,-0.5,1.25,True,3,15,38,-1369626,-43978.0,0.5946661252847361,-2299066,-1649310,0.25,-0.11359979655068299,-0.06849006354441645,-2.26260927599894,-2.3365316901603856
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":1.25,""stop_steps"":3}",0.0,-0.5,1.25,True,3,20,37,-1511908,-37980,0.5558365367243008,-2398540,-1791592,0.25,-0.11359979655068299,-0.07837410053636179,-2.3667272041047127,-2.4431206275141446
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.75,0.75,False,2,10,30,-1178100,-27845.5,0.4383021572992351,-1782083,-1397934,0.25,-0.05997233681680814,-0.04629438682264827,-2.7425644499234467,-2.784124215037513
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.75,0.75,False,2,15,30,-1178100,-27845.5,0.4383021572992351,-1782083,-1397934,0.25,-0.05997233681680814,-0.04629438682264827,-2.7425644499234467,-2.784124215037513
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.75,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.75,0.75,False,2,20,30,-1178100,-27845.5,0.4383021572992351,-1782083,-1397934,0.25,-0.05997233681680814,-0.04629438682264827,-2.7425644499234467,-2.784124215037513
