sector,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
banks,57,15,42,-7738809,-135768.57894736843,0.09672832269549737
securities,12,12,0,2083221,173601.75,infinity
