ticker,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
MBB,18,9,9,-776445,-43135.833333333336,0.4788249674284483
SSI,6,6,0,1043103,173850.5,infinity
TCB,18,3,15,-3093144,-171841.33333333334,0.020121267415559484
VCB,9,0,9,-2514540,-279393.3333333333,0.0
VND,6,6,0,1040118,173353,infinity
VPB,12,3,9,-1354680,-112890,0.03686719491516386
