trial_id,gate,quantity_per_level,signal_date,entry_date,exit_date,residual_z5,residual_1,close_up,market_return5,grid_step_fraction,lower_level_filled,target_sale_count,risk_exit,gap_risk_exit,time_exit,net_pnl_vnd,double_cost_net_pnl_vnd,initial_buy_vnd,lower_buy_vnd,modeled_max_inventory_notional_vnd
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,100,2023-04-28,2023-05-04,2023-05-08,-0.8715187147030858,0.006333932536665558,True,0.01334661790126072,0.03,False,1,False,False,False,54099,43300,21350,20700,2135000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,100,2024-01-22,2024-01-23,2024-01-31,-1.4741097862312715,0.0019581759151292245,True,0.0312509087609851,0.0194964583771653,False,1,False,False,False,52827,35557,34000,33300,3400000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,100,2024-02-19,2024-02-20,2024-02-29,-1.4004047149103132,0.003712461720083839,True,0.024746597834599798,0.017721861471861472,True,2,False,False,False,69182,33469,35650,35000,7065000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,100,2024-03-22,2024-03-25,2024-03-28,-1.3237349104364642,4.8949664759620135e-05,True,0.026595645842960505,0.028722600151171583,False,1,False,False,False,90787,71479,37850,36750,3785000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,100,2024-04-09,2024-04-10,2024-04-16,-0.8736300311926704,0.005730485005281203,True,-0.018355676485439332,0.02596825396825397,True,0,True,False,False,-560864,-596821,37600,36600,7420000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,100,2024-05-06,2024-05-07,2024-05-20,-1.4201161474472148,0.006160032152201508,True,0.03292436654312509,0.03,False,1,False,False,False,91807,73517,35800,34750,3580000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,100,2024-07-18,2024-07-19,2024-07-24,-0.8191517842803845,0.0037608185817788846,True,-0.0016328643213993329,0.018437651625424552,False,0,True,False,False,-201716,-218628,34700,34050,3470000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,100,2024-08-02,2024-08-05,2024-08-12,-0.9201981426334312,0.024582674803228795,True,0.003777496031391227,0.026590476190476192,True,2,False,False,False,89223,58253,30650,29850,6050000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,200,2023-04-28,2023-05-04,2023-05-08,-0.8715187147030858,0.006333932536665558,True,0.01334661790126072,0.03,False,1,False,False,False,108197,86599,21350,20700,4270000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,200,2024-01-22,2024-01-23,2024-01-31,-1.4741097862312715,0.0019581759151292245,True,0.0312509087609851,0.0194964583771653,False,1,False,False,False,105653,71115,34000,33300,6800000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,200,2024-02-19,2024-02-20,2024-02-29,-1.4004047149103132,0.003712461720083839,True,0.024746597834599798,0.017721861471861472,True,2,False,False,False,138363,66939,35650,35000,14130000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,200,2024-03-22,2024-03-25,2024-03-28,-1.3237349104364642,4.8949664759620135e-05,True,0.026595645842960505,0.028722600151171583,False,1,False,False,False,181574,142956,37850,36750,7570000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,200,2024-04-09,2024-04-10,2024-04-16,-0.8736300311926704,0.005730485005281203,True,-0.018355676485439332,0.02596825396825397,True,0,True,False,False,-1121731,-1193645,37600,36600,14840000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,200,2024-05-06,2024-05-07,2024-05-20,-1.4201161474472148,0.006160032152201508,True,0.03292436654312509,0.03,False,1,False,False,False,183614,147035,35800,34750,7160000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,200,2024-07-18,2024-07-19,2024-07-24,-0.8191517842803845,0.0037608185817788846,True,-0.0016328643213993329,0.018437651625424552,False,0,True,False,False,-403432,-437258,34700,34050,6940000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,200,2024-08-02,2024-08-05,2024-08-12,-0.9201981426334312,0.024582674803228795,True,0.003777496031391227,0.026590476190476192,True,2,False,False,False,178447,116506,30650,29850,12100000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,300,2023-04-28,2023-05-04,2023-05-08,-0.8715187147030858,0.006333932536665558,True,0.01334661790126072,0.03,False,1,False,False,False,162296,129899,21350,20700,6405000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,300,2024-01-22,2024-01-23,2024-01-31,-1.4741097862312715,0.0019581759151292245,True,0.0312509087609851,0.0194964583771653,False,1,False,False,False,158480,106672,34000,33300,10200000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,300,2024-02-19,2024-02-20,2024-02-29,-1.4004047149103132,0.003712461720083839,True,0.024746597834599798,0.017721861471861472,True,2,False,False,False,207542,100410,35650,35000,21195000
TRIAL8-SSI-EXPLORATORY-SENSITIVITY,strict,300,2024-03-22,2024-03-25,2024-03-28,-1.3237349104364642,4.8949664759620135e-05,True,0.026595645842960505,0.028722600151171583,False,1,False,False,False,272361,214434,37850,36750,11355000
