trial_id,fold_id,ticker,sector,signal_date,entry_date,residual_z5,residual_1,control_executed,control_net_pnl_vnd,control_double_pnl_vnd,control_profit_target_sales,control_risk_exit,control_time_exit,control_max_inventory,reanchor_executed,reanchor_net_pnl_vnd,reanchor_double_pnl_vnd,reanchor_profit_target_sales,reanchor_risk_exit,reanchor_time_exit,reanchor_max_inventory,lower_bound_breached,reanchored,recovery_lot_filled,reanchor_stress_cancelled,paired_improvement_vnd
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_01,MWG,consumer_retail,2023-01-03,2023-01-04,-0.6694259790533513,-0.025707464213654704,True,-20698,-66387,2,False,False,200,True,-20698,-66387,2,False,False,200,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_01,SSI,securities,2023-01-18,2023-01-19,-0.5965387076908588,-0.00933551448842496,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_01,TCB,banks,2023-01-18,2023-01-19,-0.5531188783859226,-0.010348459640947928,True,17470,-10054,2,False,False,200,True,17470,-10054,2,False,False,200,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_02,MBB,banks,2023-03-01,2023-03-02,-0.9239330144804593,-0.0004561346742772872,True,-4032,-13061,1,False,False,100,True,-4032,-13061,1,False,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_02,MWG,consumer_retail,2023-03-01,2023-03-02,-0.8291348315109341,0.0015046299895985354,False,0,0,0,True,False,0,False,0,0,0,True,False,0,True,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_02,FPT,technology,2023-03-07,2023-03-08,-2.623085013465399,0.002163860665704431,True,-309301,-348595,0,True,False,100,True,-309301,-348595,0,True,False,100,True,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_02,VPB,banks,2023-03-30,2023-03-31,-0.6099447771639489,0.0013980317751567364,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_03,FPT,technology,2023-05-04,2023-05-05,-0.631742754162554,0.01703523202354125,True,304,-39184,1,False,False,100,True,304,-39184,1,False,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_03,MBB,banks,2023-05-08,2023-05-09,-1.0108669709568907,-0.004728885052666401,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_03,HPG,materials,2023-05-08,2023-05-09,-0.8243232816697863,-0.00921194385154793,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_04,VPB,banks,2023-07-03,2023-07-04,-0.6466903537480326,0.0023589815370362137,True,-4,-10006,1,False,False,100,True,-4,-10006,1,False,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_04,VND,securities,2023-07-13,2023-07-14,-1.705556930455698,6.679496547860528e-05,True,5684,-3831,1,False,False,100,True,5684,-3831,1,False,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_05,PNJ,consumer_retail,2023-09-06,2023-09-07,-0.7922999800234655,-0.0027181832099084317,True,10279,-29334,1,False,False,100,True,10279,-29334,1,False,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_05,VND,securities,2023-09-11,2023-09-12,-0.6465826260524894,0.006933102305707595,True,-205292,-215582,0,True,False,100,True,-205292,-215582,0,True,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_05,TCB,banks,2023-09-12,2023-09-13,-0.6157865756846762,-0.0011768581517027227,True,-457874,-490743,0,True,False,200,True,-457874,-490743,0,True,False,200,True,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_07,VND,securities,2024-01-22,2024-01-23,-1.759709110376577,0.006837085415153977,True,13919,2839,1,False,False,100,True,13919,2839,1,False,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_07,FPT,technology,2024-01-22,2024-01-23,-1.2018405036089967,-0.0022211284269374005,True,-28005,-76001,1,False,False,100,True,-28005,-76001,1,False,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_08,TCB,banks,2024-03-05,2024-03-06,-0.7520680492676873,-2.9950605361267132e-05,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_08,HPG,materials,2024-03-05,2024-03-06,-0.6217271692856857,-5.6345482412529374e-05,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_08,MWG,consumer_retail,2024-03-12,2024-03-13,-1.0007230717983695,0.0021281249563299964,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_09,SSI,securities,2024-05-06,2024-05-07,-1.4201161474472148,0.006160032152201508,True,-6071,-42236,2,False,False,100,True,-6071,-42236,2,False,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_09,MWG,consumer_retail,2024-05-21,2024-05-22,-0.6063716042918209,0.0126108840726942,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_10,PNJ,consumer_retail,2024-07-02,2024-07-03,-0.614529872669531,0.005691282352693333,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_10,SSI,securities,2024-07-09,2024-07-10,-0.6373572698666043,-0.0057852561069467075,True,7519,-9957,1,True,False,100,True,7519,-9957,1,True,False,100,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_10,VCB,banks,2024-07-09,2024-07-10,-0.5301031643652439,0.007744906694328067,False,0,0,0,False,False,0,False,0,0,0,False,False,0,False,False,False,False,0
TRIAL10-SINGLE-REANCHOR-RECOVERY-GRID,wf_11,VPB,banks,2024-09-06,2024-09-09,-1.3158843053246498,0.0067756028334959445,True,15739,6380,1,False,False,100,True,15739,6380,1,False,False,100,False,False,False,False,0
