horizon,active_rotations,evaluated_tickers,mean_future_quality,median_future_quality,positive_future_quality_fraction,selection_turnover_fraction
20,7,14,0.013196655342494321,0.03457989926395255,0.7142857142857143,0.8333333333333334
40,4,8,-0.012963075838800176,-0.01857103807889735,0.5,1.0
60,1,2,-0.0047237722491315845,-0.0047237722491315845,0.5,0.0
