rank,eligible,parameter_json,ridge_penalty,minimum_target_probability,risk_penalty,score_buffer,top_k,selected_campaigns,selected_targets,selected_pnl_vnd,control_pnl_vnd,incremental_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,target_gains_vnd,other_losses_vnd,grid_economic_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,target_rate_quintile_spread
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",10,0.45,1.5,0.0,2,2,0,-372611,-256518,-116093,-186305.5,0.0,-465004,-194321,0,372611,-372611,0.0,0.0,1,1.0,0.1492063492063492
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",10,0.45,1.5,0.0,3,2,0,-372611,-256518,-116093,-186305.5,0.0,-465004,-194321,0,372611,-372611,0.0,0.0,1,1.0,0.1492063492063492
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",10,0.45,1.5,0.001,1,2,0,-372611,-256518,-116093,-186305.5,0.0,-465004,-194321,0,372611,-372611,0.0,0.0,1,1.0,0.1492063492063492
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":2}",10,0.45,1.5,0.001,2,2,0,-372611,-256518,-116093,-186305.5,0.0,-465004,-194321,0,372611,-372611,0.0,0.0,1,1.0,0.1492063492063492
,False,"{""minimum_target_probability"":0.45,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":3}",10,0.45,1.5,0.001,3,2,0,-372611,-256518,-116093,-186305.5,0.0,-465004,-194321,0,372611,-372611,0.0,0.0,1,1.0,0.1492063492063492
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":1}",100,0.3,1.0,0.0,1,6,0,-178426,-256518,78092,-99588.5,0.6618337161788229,-441399,-474133,0,527628,-527628,0.0,0.8468078647888615,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":2}",100,0.3,1.0,0.0,2,7,0,-256554,-256518,-36,-78128,0.5764730353475657,-537752,-552261,0,605756,-605756,0.0,0.8468078647888615,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":3}",100,0.3,1.0,0.0,3,7,0,-256554,-256518,-36,-78128,0.5764730353475657,-537752,-552261,0,605756,-605756,0.0,0.8468078647888615,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":1}",100,0.3,1.0,0.001,1,5,0,-474133,-256518,-217615,-124336,0.10138772013615653,-672826,-527628,0,527628,-527628,0.0,1.0,1,1.0,0.13333333333333336
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":2}",100,0.3,1.0,0.001,2,6,0,-552261,-256518,-295743,-101232.0,0.08831113517653973,-769179,-605756,0,605756,-605756,0.0,1.0,1,1.0,0.13333333333333336
