partition,fold_id,ridge_penalty,train_observations,target_intercept,target_residual_z5,target_residual_1,target_residual_slope20,target_downside_semivol20,target_residual_ar1_20,target_market_return20,target_close_minus_sma50_fraction,target_sma20_minus_sma50_fraction,target_atr20_fraction,target_log_median_value60,capture_intercept,capture_residual_z5,capture_residual_1,capture_residual_slope20,capture_downside_semivol20,capture_residual_ar1_20,capture_market_return20,capture_close_minus_sma50_fraction,capture_sma20_minus_sma50_fraction,capture_atr20_fraction,capture_log_median_value60,loss_intercept,loss_residual_z5,loss_residual_1,loss_residual_slope20,loss_downside_semivol20,loss_residual_ar1_20,loss_market_return20,loss_close_minus_sma50_fraction,loss_sma20_minus_sma50_fraction,loss_atr20_fraction,loss_log_median_value60
in_sample,wf_01,10,298,0.34899328859060363,-0.021957604282976217,0.027457974947495283,-0.05796027264840739,-0.07977953006387514,0.08271650743925534,-0.06293264304763033,0.11728424656690563,-0.03763801420339094,0.2670966756101114,-0.17893637758504988,0.01272545241289193,-0.0014509087054995471,0.0005963239620890856,-0.0018483762283887765,-0.0024314457168261973,0.002979597443214582,-0.004073073141683552,0.006859310031729143,-0.004264889990070557,0.009607836136677598,-0.004946015482938194,0.05066033196672581,0.0037264799437352635,-0.0011337726783947981,-5.907352766430958e-05,0.007029745592366224,-0.006239218361172795,0.002312625642998351,-0.015749216222719277,0.005039328999536806,-0.008851546867885945,0.018549314852079047
in_sample,wf_01,100,298,0.3489932885906038,0.011689428194681493,0.018777537710024887,-0.048944926599601306,0.003803214263092089,0.06291901052059856,-0.01157354189003755,0.04972409079463843,-0.02201900826527978,0.13880621930489612,-0.11795752229126377,0.012725452412891932,0.0003221173260102171,0.0003876667530105006,-0.001332694240298526,0.00045073263749290896,0.002490044091896309,-0.0010090874254344657,0.002374765255844356,-0.0021974482678395755,0.005222856891156117,-0.0033058377627262913,0.050660331966725806,-0.00017783420311201525,-0.0008518219500610854,0.0007044836480853667,0.00187222124750565,-0.0046744798082280405,-0.0019074320370157654,-0.008054641674759954,0.001952785843340394,-0.0027167620247132993,0.01373712942432951
in_sample,wf_02,10,561,0.48484848484848525,0.006817249633158176,0.007088831226702065,0.03515240263049541,-0.09688794989437144,0.0697878548655339,-0.03691979378742065,0.010711413974310578,0.11957523822939811,0.2745012119536776,-0.21626524960326954,0.014821263849398868,-0.000747708781184043,1.9228406062769922e-05,0.00045986396173857216,-0.0019735715540743566,0.0021614705077741283,-0.003995977383372669,0.004483012715239898,1.678875374125713e-05,0.009712095146636974,-0.005866130316228311,0.03989068978912395,0.00016441642098552868,-4.225645854771711e-05,-0.0038539154436568654,0.006838296609248501,-0.0036250698605991526,0.0004932846612803656,-0.0034065474513430196,-0.01010603497905467,-0.013592077920124323,0.021054220288667613
in_sample,wf_02,100,561,0.48484848484848514,0.02665083881709039,0.009138034107848221,0.009673512785741441,-0.03046166190838332,0.0422678983840807,-0.02261863683876661,0.023652152801776356,0.07137838435912514,0.16823158803863947,-0.14928377743847326,0.014821263849398865,0.0004268594651313076,5.7283576936500425e-05,1.8438736100921227e-05,-8.417321255701777e-05,0.0015259671737944906,-0.0022433402050347612,0.002453915688753041,0.0001233957885145141,0.006362497885333048,-0.00395070271840043,0.03989068978912396,-0.0015265609124208409,-0.0002777776023501418,-0.0016218354331116458,0.003006151609896493,-0.002023818091800542,-0.0005859556118878971,-0.00395166321791642,-0.006435210245919809,-0.007098812769682509,0.015706930756634273
in_sample,wf_03,10,952,0.4978991596638656,0.020075213903124205,0.009628835606304478,0.021696307202910874,-0.12911134461084833,0.011159958955870934,0.03939716021584786,-0.03700609435272911,-0.014452563654532576,0.22553094148294173,-0.11732310880027445,0.014267473657513898,0.0005144708992649704,-0.00019063827027821,7.408397705200838e-06,-0.0038178254896477793,0.0003806514386853298,-0.0011162646528494438,0.002004041374109169,-0.003290152957059806,0.00968986321259338,-0.0032164455563551257,0.03311923044292931,0.0006344172180724915,0.00030090743074480213,-0.0024790335235033885,0.010302635556014053,0.0019572128115695653,-0.002520625135560012,-0.0014490725513668576,0.000968211965629137,-0.009857020973058952,0.012603740642478415
in_sample,wf_03,100,952,0.4978991596638656,0.026475691975345165,0.009836431396627345,0.014654882208497824,-0.07647060170660135,-0.0022361866591796816,0.025511910491364295,-0.018529758793895706,-0.022290518470413273,0.16117866541102407,-0.08451784401621698,0.014267473657513898,0.0010260648060512211,-0.00014562048201312083,1.36909790082222e-05,-0.0020925914587475577,4.410159735568245e-05,-0.0008344568726186693,0.001188646061915104,-0.002569142974081771,0.007322189353835159,-0.002067079304701271,0.03311923044292931,-0.00035412294381723705,0.0002140869798053527,-0.0017512218118973203,0.00711990733378919,0.002467373310773271,-0.002243453322540441,-0.0015134358332686507,0.0010720449270883617,-0.006012965004847438,0.010083842491759386
in_sample,wf_04,10,1334,0.568215892053973,0.05288580025396515,-0.008258945512963347,0.008764535703108941,-0.03930604186470311,-0.009928113770007976,0.040007335002056874,-0.012009573468010015,-0.02828519039681152,0.043340736567166784,-0.02412424645066741,0.014217383730456437,0.000669757260718865,-0.0006880643285736359,-6.389406610674526e-05,-0.001413627165226758,-0.0002853336224627084,-0.00114262349441345,0.0029633951241879184,-0.0035762602666534636,0.005859114503440963,-0.0008837994084745154,0.026132043936877444,-0.0010878632325580593,0.0008789026047074953,-0.001839462816485734,0.0038769467984254985,0.0024862216967089087,-0.002898409295541013,-0.0015264259588968342,0.0007635954066763353,0.00208935105283115,0.005186250450703316
in_sample,wf_04,100,1334,0.568215892053973,0.04703626074519904,-0.006528102679011866,0.011195680610466744,-0.029927028906160714,-0.011856248220444902,0.032915135879121094,-0.0057667466750889705,-0.027291010746686026,0.03277573588744013,-0.02055138223293441,0.014217383730456435,0.0009220664708184769,-0.000604468723139752,6.537942622031834e-05,-0.0007607507175928764,-0.0003736445914285798,-0.0008141174032608396,0.0020141233616411056,-0.0027749126361614825,0.004888211959058866,-0.0005197931906219747,0.026132043936877444,-0.0011147204127632065,0.0007531885377678344,-0.0016968429304732072,0.0035384558996438375,0.00241275034068813,-0.0027595597029386526,-0.0014612749057112465,0.0006838254128257103,0.002366138209010339,0.004800928183056173
in_sample,wf_05,10,1526,0.5963302752293578,0.05335912902148855,-0.009312802300252032,0.015324358674093609,-0.022102427305920554,0.003560499767748846,0.045719322040167085,-0.018380292130807763,-0.0068047479244017816,0.008728953805128378,-0.006615243796197166,0.0147737955859566,0.0003102494675992557,-0.0005742691021117375,0.0006191113592470755,-0.0004589848342908506,0.00017484737054050513,-0.0009919640941816025,0.002878635376636514,-0.002795223679170341,0.00443474413785771,-0.00018451007334410258,0.024756109710307294,-0.0007604740374392365,0.0010596016937401951,-0.0027803144118047464,0.0026053639417267793,0.0013990852379333577,-0.0032043208025525367,-0.0012538874025563255,-0.0002064400134997818,0.0033007533132098548,0.0046621695830254195
in_sample,wf_05,100,1526,0.5963302752293578,0.046537184510891845,-0.007676451109966504,0.016540908667207886,-0.018295453676335185,0.00181434294697461,0.03830997675098032,-0.008964969281974666,-0.010024943258974883,0.0056529231697114895,-0.006416595299092627,0.0147737955859566,0.0005694958026548859,-0.0005020347994723562,0.0006455305493788762,-0.00013829782335985264,0.00010620323443402212,-0.0006938970873707577,0.0020304767319184692,-0.002185936569566974,0.003895774061887644,-6.34999859447524e-06,0.02475610971030729,-0.0007927736184107281,0.0009260593848322262,-0.0025141070710835,0.0025125151235849187,0.0013645752548030188,-0.0030557112038426155,-0.0013245540429008863,-6.654568352045475e-05,0.0033020651945382656,0.004404109023645183
