trial_id,fold_id,ticker,sector,signal_date,entry_date,exit_date,residual_z5,residual_1,center_vnd,lower_vnd,upper_vnd,hard_lower_vnd,grid_ratio,selected,selection_rank,executed,buy_count,sell_count,target_sale_count,maximum_inventory_shares,maximum_inventory_notional_vnd,distance_0_bought_shares,distance_1_bought_shares,distance_2_bought_shares,stress_reduced_orders,stress_cancelled_orders,deep_trend_shutdown,buffer_shutdown,gap_shutdown,time_exit,normal_target_gain_vnd,risk_time_loss_vnd,net_pnl_vnd,double_cost_net_pnl_vnd
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,MWG,consumer_retail,2023-01-03,2023-01-04,2023-01-10,-0.6694259790533513,-0.025707464213654704,45325,41550,49100,40200,0.028217703985069287,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,MWG,consumer_retail,2023-01-17,2023-01-18,2023-02-06,-1.0816938637698301,-0.009534123146802034,43522,40700,46350,39700,0.021901935096735548,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,SSI,securities,2023-01-18,2023-01-19,2023-02-08,-0.5965387076908588,-0.00933551448842496,18878,17150,20600,16600,0.031020220165922208,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,TCB,banks,2023-01-18,2023-01-19,2023-02-09,-0.5531188783859226,-0.010348459640947928,27388,25550,29200,24950,0.022504727201503094,True,2,True,1,1,0,100,2740000,100,0,0,0,0,True,False,False,False,0,-38917,-38917,-52829
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,FPT,technology,2023-02-06,2023-02-07,2023-02-08,-1.646125471944759,-0.0008598125071646546,81450,78500,84400,77500,0.012151364625553773,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_02,MBB,banks,2023-03-01,2023-03-02,2023-03-07,-0.9239330144804593,-0.0004561346742772872,18185,17150,19200,16850,0.01899687167110997,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_02,MWG,consumer_retail,2023-03-01,2023-03-02,2023-03-03,-0.8291348315109341,0.0015046299895985354,43682,40650,46750,39550,0.023576196103919367,True,2,False,0,0,0,0,0,0,0,0,0,0,False,True,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_02,FPT,technology,2023-03-07,2023-03-08,2023-03-21,-2.623085013465399,0.002163860665704431,80765,78300,83200,77500,0.010167970183854846,True,1,True,2,2,1,500,39750000,0,200,300,0,0,False,True,False,False,312,-618602,-618290,-816241
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_02,VCB,banks,2023-03-07,2023-03-08,2023-03-20,-1.0882242530393071,0.004193177629515764,93010,88600,97400,87100,0.015907591907529106,True,2,True,1,1,0,200,18600000,0,200,0,1,1,False,True,False,False,0,-1069142,-1069142,-1158068
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_02,HPG,materials,2023-03-15,2023-03-16,2023-04-06,-0.8100858323545856,0.004965688488735277,20958,19500,22450,19000,0.023757168238598636,True,1,True,1,1,1,200,4080000,0,200,0,0,0,False,False,False,False,49387,0,49387,28378
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_02,MWG,consumer_retail,2023-03-24,2023-03-27,2023-04-17,-2.2030346280896778,0.0005056993611258576,39318,37050,41550,36300,0.01928852723250274,True,1,True,1,1,1,100,3975000,100,0,0,0,0,False,False,False,False,32,0,32,-19932
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_02,TCB,banks,2023-03-24,2023-03-27,2023-04-17,-0.6536538996014216,0.005429246042390079,26822,25450,28150,25050,0.016947271474770265,True,2,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_03,FPT,technology,2023-05-04,2023-05-05,2023-05-26,-0.631742754162554,0.01703523202354125,79455,77600,81300,77000,0.0077933092007935745,True,1,True,1,1,1,200,15820000,0,200,0,0,0,False,False,False,False,608,0,608,-78368
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_03,MBB,banks,2023-05-08,2023-05-09,2023-05-30,-1.0108669709568907,-0.004728885052666401,18348,17800,18900,17650,0.010044016699954694,True,1,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_03,HPG,materials,2023-05-08,2023-05-09,2023-05-30,-0.8243232816697863,-0.00921194385154793,21078,20200,21950,19950,0.013943742153593952,True,2,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_03,VPB,banks,2023-05-30,2023-05-31,2023-06-12,-0.5978130896742966,0.0016261884703447425,19492,18850,20150,18650,0.011177232757296762,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_03,FPT,technology,2023-06-02,2023-06-05,2023-06-26,-0.6696806227754838,-0.007175423845543287,81815,79400,84200,78600,0.009830766438958305,True,1,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_03,HPG,materials,2023-06-06,2023-06-07,2023-06-28,-1.860874129239942,-0.01327055321567594,21652,20800,22500,20500,0.013179818545583366,True,1,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_04,VPB,banks,2023-07-03,2023-07-04,2023-07-25,-0.6466903537480326,0.0023589815370362137,19772,18950,20600,18700,0.014011781608227025,True,1,True,1,1,1,100,2005000,100,0,0,0,0,False,False,False,False,0,0,-4,-10006
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_04,MWG,consumer_retail,2023-07-04,2023-07-05,2023-07-26,-0.5091063508031178,-0.0029448397442911854,42615,40450,44750,39700,0.01698001594596743,True,1,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_04,VND,securities,2023-07-13,2023-07-14,2023-08-04,-1.705556930455698,6.679496547860528e-05,18912,17550,20300,17100,0.024557852408679803,True,1,True,1,1,1,200,3680000,0,200,0,0,0,False,False,False,False,11367,0,11367,-7662
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_04,HPG,materials,2023-08-04,2023-08-07,2023-08-21,-1.1096440401848209,0.014660191830032313,27702,26450,29000,26000,0.015458206172365596,True,1,True,1,1,1,100,2770000,100,0,0,0,0,False,True,False,False,10979,0,10979,-3039
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_05,PNJ,consumer_retail,2023-09-06,2023-09-07,2023-09-26,-0.7922999800234655,-0.0027181832099084317,79570,76500,82700,75400,0.013072855823575757,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_05,VND,securities,2023-09-11,2023-09-12,2023-09-26,-0.6465826260524894,0.006933102305707595,22022,20300,23750,19750,0.02650545749958333,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_05,TCB,banks,2023-09-12,2023-09-13,2023-09-27,-0.6157865756846762,-0.0011768581517027227,34220,32600,35850,32050,0.015964641061128715,True,1,True,2,2,0,300,9840000,100,200,0,0,0,True,False,False,False,0,-554573,-554573,-604236
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_05,HPG,materials,2023-09-28,2023-09-29,2023-10-03,-0.9556606055308059,0.004313831846889075,27735,25900,29550,25300,0.02221665706093523,True,1,False,0,0,0,0,0,0,0,0,0,0,False,True,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_07,VND,securities,2024-01-22,2024-01-23,2024-02-20,-1.759709110376577,0.006837085415153977,21988,21000,22950,20700,0.01490930091560716,True,1,True,1,1,1,100,2195000,100,0,0,0,0,False,False,False,False,13919,0,13919,2839
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_07,FPT,technology,2024-01-22,2024-01-23,2024-02-20,-1.2018405036089967,-0.0022211284269374005,96150,93700,98600,92800,0.008531701332827435,True,2,True,1,1,1,200,19180000,0,200,0,0,0,False,False,False,False,0,0,-56010,-152002
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_07,MWG,consumer_retail,2024-01-25,2024-01-26,2024-02-23,-0.6303319893933882,0.01963139759191845,43810,41700,45950,40950,0.01630698421162924,True,1,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_08,VND,securities,2024-03-01,2024-03-04,2024-03-25,-0.6770317963374863,0.016226882719752967,22475,21400,23550,21050,0.016083790180396962,True,1,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_08,TCB,banks,2024-03-05,2024-03-06,2024-03-27,-0.7520680492676873,-2.9950605361267132e-05,38942,36850,41000,36150,0.01794518884335039,True,1,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_08,HPG,materials,2024-03-05,2024-03-06,2024-03-27,-0.6217271692856857,-5.6345482412529374e-05,29135,28050,30200,27700,0.012384948133257634,True,2,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_08,FPT,technology,2024-03-25,2024-03-26,2024-04-16,-0.942043414800007,0.00036325254669168465,112260,106600,118000,104500,0.017077703520151033,True,1,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_08,VCB,banks,2024-04-01,2024-04-02,2024-04-17,-1.1999888692090024,0.004121290391838807,94970,91800,98100,90800,0.011123927333276384,True,1,True,2,2,1,200,18400000,100,200,0,0,0,False,True,False,False,72285,-852171,-779886,-920246
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_08,VND,securities,2024-04-02,2024-04-03,2024-04-08,-0.792201215537063,0.008111128871315824,23348,21750,24950,21200,0.023140355482723196,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_09,SSI,securities,2024-05-06,2024-05-07,2024-05-28,-1.4201161474472148,0.006160032152201508,35845,33650,38050,32900,0.020692519938555476,True,1,True,2,2,2,200,7120000,100,200,0,0,0,False,False,False,False,0,0,-13954,-67999
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_09,VCB,banks,2024-05-15,2024-05-16,2024-05-16,-2.130793315343184,-0.00023906005024439212,91625,88200,95000,87100,0.012455249939602897,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
