trial_id,fold_id,ticker,sector,signal_date,entry_date,exit_date,residual_z5,residual_1,center_vnd,lower_vnd,upper_vnd,hard_lower_vnd,grid_ratio,selected,selection_rank,executed,buy_count,sell_count,target_sale_count,maximum_inventory_shares,maximum_inventory_notional_vnd,distance_0_bought_shares,distance_1_bought_shares,distance_2_bought_shares,stress_reduced_orders,stress_cancelled_orders,deep_trend_shutdown,buffer_shutdown,gap_shutdown,time_exit,normal_target_gain_vnd,risk_time_loss_vnd,net_pnl_vnd,double_cost_net_pnl_vnd
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,MWG,consumer_retail,2023-01-03,2023-01-04,2023-01-10,-0.6694259790533513,-0.025707464213654704,45325,41550,49100,40200,0.028217703985069287,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,MWG,consumer_retail,2023-01-10,2023-01-11,2023-02-06,-1.4507667636318067,0.006332479957984624,44682,41450,47950,40250,0.024575608766956858,False,,True,2,2,2,300,12915000,100,0,300,0,0,True,False,False,False,272669,0,272669,184957
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,MWG,consumer_retail,2023-01-11,2023-01-12,2023-02-06,-0.9887639388047119,0.004698928275242735,44490,41350,47600,40250,0.023737408405755778,False,,True,1,1,1,100,4590000,100,0,0,0,0,True,False,False,False,27397,0,27397,4799
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,MWG,consumer_retail,2023-01-17,2023-01-18,2023-02-06,-1.0816938637698301,-0.009534123146802034,43522,40700,46350,39700,0.021901935096735548,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,SSI,securities,2023-01-18,2023-01-19,2023-02-08,-0.5965387076908588,-0.00933551448842496,18878,17150,20600,16600,0.031020220165922208,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,TCB,banks,2023-01-18,2023-01-19,2023-02-09,-0.5531188783859226,-0.010348459640947928,27388,25550,29200,24950,0.022504727201503094,True,2,True,1,1,0,100,2740000,100,0,0,0,0,True,False,False,False,0,-38917,-38917,-52829
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,VPB,banks,2023-01-27,2023-01-30,2023-02-09,-1.5028903506727191,0.005733238789328806,18728,17400,20050,17000,0.023907807939680836,False,,True,1,1,0,200,3590000,0,200,0,0,0,True,False,False,False,0,-138138,-138138,-156473
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,MBB,banks,2023-01-31,2023-02-01,2023-02-08,-0.9013506460089588,0.004051516116873715,18418,17400,19450,17100,0.018736170631612925,False,,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,TCB,banks,2023-01-31,2023-02-01,2023-02-09,-0.7746238676374977,0.012600750947385208,27765,26250,29300,25750,0.018489099880706572,False,,True,1,1,0,100,2740000,100,0,0,0,0,True,False,False,False,0,-38917,-38917,-52829
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,VPB,banks,2023-01-31,2023-02-01,2023-02-09,-1.0840991495578665,-0.00020068582327286213,18885,17600,20150,17200,0.022807091393462153,False,,True,1,1,0,200,3590000,0,200,0,0,0,True,False,False,False,0,-138138,-138138,-156473
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,VPB,banks,2023-02-02,2023-02-03,2023-02-09,-1.0102875350902227,0.0007106015728065027,18918,17650,20200,17250,0.022745969361038343,False,,True,1,1,0,200,3590000,0,200,0,0,0,True,False,False,False,0,-138138,-138138,-156473
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,VPB,banks,2023-02-03,2023-02-06,2023-02-09,-0.9628861306935322,0.0077483114743061784,18940,17700,20150,17300,0.02184172117147698,False,,True,1,1,0,200,3590000,0,200,0,0,0,True,False,False,False,0,-138138,-138138,-156473
TRIAL9-DYNAMIC-INVENTORY-AWARE-GRID,wf_01,FPT,technology,2023-02-06,2023-02-07,2023-02-08,-1.646125471944759,-0.0008598125071646546,81450,78500,84400,77500,0.012151364625553773,True,1,False,0,0,0,0,0,0,0,0,0,0,True,False,False,False,0,0,0,0
