role,rotation,ticker,sector,campaign_id,level,event_time,side,purpose,quantity,reference_book_price_vnd,execution_price_vnd,gross_notional_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,realized_pnl_vnd
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L1:C1,1,2025-01-03T11:06:00,BUY,buy,100,18950,18950,1895000,2843,0,0,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L1:C2,1,2025-01-03T11:06:00,BUY,buy,100,18950,18950,1895000,2843,0,0,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L1:C3,1,2025-01-03T11:06:00,BUY,buy,100,18950,18950,1895000,2843,0,0,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L1:C1,1,2025-01-03T14:23:00,BUY,buy,100,24850,24850,2485000,3728,0,0,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L1:C2,1,2025-01-03T14:23:00,BUY,buy,100,24850,24850,2485000,3728,0,0,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L1:C3,1,2025-01-03T14:23:00,BUY,buy,100,24850,24850,2485000,3728,0,0,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L2:C1,2,2025-01-06T14:19:00,BUY,buy,100,24600,24600,2460000,3690,0,0,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L2:C2,2,2025-01-06T14:19:00,BUY,buy,100,24600,24600,2460000,3690,0,0,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L2:C3,2,2025-01-06T14:19:00,BUY,buy,100,24600,24600,2460000,3690,0,0,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L3:C1,3,2025-01-07T09:15:00,BUY,buy,100,21650,21700,2170000,3255,0,5000,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L3:C2,3,2025-01-07T09:15:00,BUY,buy,100,21650,21700,2170000,3255,0,5000,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L3:C3,3,2025-01-07T09:15:00,BUY,buy,100,21650,21700,2170000,3255,0,5000,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L4:C1,4,2025-01-07T09:15:00,BUY,buy,100,21650,21700,2170000,3255,0,5000,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L4:C2,4,2025-01-07T09:15:00,BUY,buy,100,21650,21700,2170000,3255,0,5000,0
out_of_sample,2025-01,MBB,banks,2025-01:MBB:L4:C3,4,2025-01-07T09:15:00,BUY,buy,100,21650,21700,2170000,3255,0,5000,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L2:C1,2,2025-01-07T14:20:00,BUY,buy,100,18750,18750,1875000,2813,0,0,0
out_of_sample,2025-01,VPB,banks,2025-01:VPB:L2:C2,2,2025-01-07T14:20:00,BUY,buy,100,18750,18750,1875000,2813,0,0,0
