rank,eligible,variant,minimum_net_profit_fraction,selected_campaigns,selected_targets,selected_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,target_gains_vnd,other_losses_vnd,grid_economic_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,target_rate_quintile_spread,annualized_fold_sharpe,realized_maximum_drawdown_vnd,realized_maximum_drawdown_fraction,worst_pnl_vnd,economic_target_adjustment_rate,mean_target_gross_distance,median_equilibrium_beta,median_equilibrium_residual_ar1,equilibrium_cap_fraction
,False,equilibrium_control_0,0.0,80,31,-4254550,-48260.5,0.29678370547409727,-5263975,-4573341,1614298,6334770,-4720472,0.0,0.28718464228828566,2,0.5625,0.25000000000000006,-3.6638741979647396,4254550,0.0425455,-475781,0.0,0.017167994709863403,0.918129009528093,0.8916165624196979,0.1
,False,equilibrium_net_50,0.005,80,31,-4254550,-48260.5,0.29678370547409727,-5263975,-4573341,1614298,6334770,-4720472,0.0,0.28718464228828566,2,0.5625,0.25000000000000006,-3.6638741979647396,4254550,0.0425455,-475781,0.0,0.017167994709863403,0.918129009528093,0.8916165624196979,0.1
,False,equilibrium_net_75,0.0075,80,30,-4264525,-54204.5,0.29802831804159524,-5273935,-4583316,1617131,6347578,-4730447,0.0,0.2848113990175318,2,0.5625,0.2692307692307693,-3.7293711280955515,4264525,0.04264525,-475781,0.08737864077669903,0.017383392522939523,0.918129009528093,0.8916165624196979,0.1
,False,equilibrium_net_100,0.01,80,29,-4254549,-54204.5,0.29967043984864694,-5263975,-4573340,1619405,6347578,-4728173,0.0,0.2832507011740614,2,0.5625,0.2692307692307693,-3.6875237503033644,4254549,0.04254549,-475781,0.32038834951456313,0.018109425338915217,0.918129009528093,0.8916165624196979,0.1
