variant,fold_id,signal_date,entry_date,exit_date,ticker,sector,equilibrium_centre_vnd,raw_equilibrium_centre_vnd,signal_close_vnd,equilibrium_beta,equilibrium_residual_correction,equilibrium_residual_ar1,equilibrium_capped,spacing_fraction,minimum_net_profit_fraction,first_level,maximum_inventory_shares,filled_lots,economic_target_adjustments,mean_target_gross_distance,target_sales,net_pnl_vnd,double_cost_pnl_vnd,campaign_return,normal_target_gain_vnd,other_loss_vnd,target_completion,opportunity_score,fair_value_discount_fraction,crash_veto_triggered,hard_lower_triggered,residual_z5,residual_1,residual_slope20,downside_semivol20,residual_ar1_20,market_return20,close_minus_sma50_fraction,sma20_minus_sma50_fraction,atr20_fraction,log_median_value60
equilibrium_control_0,wf_01,2023-01-04,2023-01-05,2023-01-11,MWG,consumer_retail,45150,45115.568763887284,43500,1.1088829722655462,0.0364664542520165,0.8367117651835329,False,0.03,0.0,1,200,2,0,0.02828930327201251,0,-224146,-249825,-0.025859072404733605,0,224146,False,1.6695146647016792,0.036544850498338874,True,False,-0.7967376469178213,-0.012667444239609324,-0.0008065234240289351,0.012147233668877176,-0.23533083829640006,0.013771608645138678,-0.027889514615178333,0.011944667918119246,0.04187192118226601,25.01950293878408
equilibrium_control_0,wf_01,2023-01-17,2023-01-18,2023-01-27,MWG,consumer_retail,45850,46403.57261482621,43050,1.0563416214135137,0.07501422140361474,0.8939097127958553,True,0.024348763895802223,0.0,2,100,1,0,0.019340159271899804,1,221819,208275,0.05039516375094199,221819,0,True,2.9627555436793194,0.061068702290076333,False,False,-1.0816938637698301,-0.009534123146802034,-0.0006067976877604152,0.013352152457237275,-0.17302258218147462,0.030092069085197078,-0.00966183574879227,0.0012077294685990338,0.0324650185277363,24.817816252979163
equilibrium_control_0,wf_01,2023-01-19,2023-01-27,2023-02-02,TCB,banks,29800,29754.314993721095,29100,1.1334968188314214,0.022235989102397394,0.47237593418985635,False,0.021170839469808543,0.0,1,200,2,0,0.01989121989121989,0,-197704,-214795,-0.034124091811799,0,197704,False,2.193868887651915,0.02348993288590604,False,True,-1.3617124826329476,-0.012206953584736207,-0.00028111276737495164,0.007979793075648188,-0.24210906910423763,0.07215725292738635,0.10604332953249715,0.043614595210946405,0.028227785959744723,25.04495405103188
equilibrium_control_0,wf_01,2023-01-19,2023-01-27,2023-02-01,VPB,banks,19950,19945.775081070566,19500,0.9085360955617048,0.02260287995366407,0.9340634279844405,False,0.02545787545787546,0.0,1,100,1,0,0.020460358056265893,0,-132508,-138185,-0.06767749458229674,0,132508,False,1.2151726055654315,0.022556390977443608,False,True,-0.5506515907982981,-0.01809403493901967,-0.0012908457073098117,0.01008770248694585,0.07587068361993254,0.06650277700874947,0.12314249510425067,0.07504895749337634,0.03394383394383395,25.84618370388859
equilibrium_control_0,wf_01,2023-02-01,2023-02-02,2023-02-09,VND,securities,15450,15412.740530938316,15400,1.4178872772370257,0.0008269651738117001,0.783374706620419,False,0.03,0.0,1,200,2,0,0.02179348560616301,0,-131620,-140380,-0.04410163278572075,0,131620,False,0.6046480211691588,0.003236245954692557,False,True,-0.5306832196322279,-0.0186281259045454,-0.0002730207052177571,0.010443525285107594,-0.5483598981086518,0.059923048209055974,0.09088333215272366,0.063257065948856,0.04375386518243661,25.62422011024446
equilibrium_control_0,wf_01,2023-02-02,2023-02-03,2023-02-13,SSI,securities,20200,20166.09736839206,20150,1.4199711061092128,0.0007985579110201674,0.7027397628122861,False,0.02835873803615739,0.0,1,200,2,0,0.021782015452901482,0,-215101,-226500,-0.05507148122137788,0,215101,False,0.5956645383609807,0.0024752475247524753,False,True,-0.5302019764797925,-0.008316398414061075,-0.00043749671792406807,0.007857691877900877,-0.3539627721986119,0.060895996784671946,0.059188393608074014,0.031591673675357444,0.03781165071487652,25.76158768009338
equilibrium_control_0,wf_01,2023-02-03,2023-02-06,2023-02-08,VPB,banks,19200,19157.17798312304,18250,0.9184613642158456,0.04851239477306489,0.9059033112369926,False,0.024559686888454012,0.0,2,100,1,0,0.024590163934426146,0,-57195,-62610,-0.031207287429511472,0,57195,False,2.473873431490345,0.049479166666666664,True,True,-0.9628861306935322,0.0077483114743061784,-0.0005270509274920638,0.01131840773886909,-0.03265862661907001,0.08868460607161781,0.028169014084507043,0.06704225352112676,0.03274624918460535,25.909057271894454
equilibrium_control_0,wf_01,2023-02-15,2023-02-16,2023-02-20,VPB,banks,17900,17866.578852747592,17200,0.9227391674503519,0.038022480619003776,0.8334901946822941,False,0.02647425249169435,0.0,1,100,1,0,0.025787965616045794,1,37907,32605,0.021690666953533323,37907,0,True,1.801496989723253,0.03910614525139665,True,False,-0.6936428983660394,0.022187320878074623,-0.0004362034684441696,0.01273728251138791,0.038106915292780895,0.004112224293018945,-0.04856731939373825,0.02444960725743998,0.03529900332225913,25.86386685547126
equilibrium_control_0,wf_01,2023-02-17,2023-02-23,2023-02-27,MBB,banks,18400,18360.153270434235,18100,0.9182994748918099,0.014270794948586454,0.7916373695207373,False,0.0202249408050513,0.0,1,100,1,0,0.016574585635359185,0,-92028,-97330,-0.05076804682479044,0,92028,False,1.905016513648414,0.016304347826086956,True,False,-1.300403576214692,-0.004958823996991704,-0.0003118197085095304,0.005589454537315651,-0.1180813614100283,0.006631638003908074,-0.009955147139262663,0.02395799146701674,0.026966587740068403,25.08884294825752
equilibrium_control_0,wf_02,2023-03-07,2023-03-08,2023-03-16,VCB,banks,92400,92323.2968106491,91900,0.3700009424351433,0.004595483447810161,0.8638509364976533,False,0.017759987564122493,0.0,1,100,1,0,0.014270032930845167,0,-76340,-103610,-0.008367251537622217,0,76340,False,1.3167402665662615,0.005411255411255411,False,False,-1.0882242530393071,0.004193177629515764,-0.00034291667413234513,0.007391939092426062,-0.4010407837018619,-0.020852042157347827,0.03642720198488779,0.04894552836359535,0.02367998341882999,24.71359638397932
equilibrium_control_0,wf_02,2023-03-10,2023-03-13,2023-03-15,TCB,banks,27500,27466.324809619848,27150,1.0190629407281768,0.011583655538212147,0.7174694832470235,False,0.020586687713759537,0.0,1,100,1,0,0.020408163265306145,0,-5793,-13885,-0.0021463163054460414,0,5793,False,1.409613029942916,0.012727272727272728,True,False,-0.9459418129809641,-0.0180081518788282,-0.00047948637987626374,0.008222879996573493,-0.4568344072274054,0.0020424720229168846,-0.014125422128617596,-0.005773630124550637,0.02744891695167938,24.523185422123653
equilibrium_control_0,wf_02,2023-03-15,2023-03-16,2023-03-21,HPG,materials,21550,21503.6223421389,21300,1.3527369879059186,0.00951432925661913,0.8744838410563429,False,0.025570087189805496,0.0,1,100,1,0,0.02375296912114022,0,-123133,-129275,-0.05840786127036019,0,123133,False,1.1503543653126322,0.01160092807424594,False,True,-0.8100858323545856,0.004965688488735277,-0.00029524724972899286,0.007580403390528464,-0.23598553171187744,0.020537939472276775,0.03513631724741216,0.018491519657870437,0.03409344958640733,26.044262864627488
equilibrium_control_0,wf_02,2023-03-17,2023-03-20,2023-03-22,MBB,banks,17800,17752.008552512187,17450,0.9179585441643761,0.01715901875912814,0.9291789711414661,False,0.018829308227589027,0.0,1,100,1,0,0.014245014245014342,0,-16996,-22245,-0.009669822994902804,0,16996,False,2.064984668252476,0.019662921348314606,True,False,-1.2817805891122707,0.003585013553239049,-9.225605067763035e-05,0.006027742622542742,-0.3976859904089052,-0.0035417974684597933,-0.03978429538326088,-0.027265723876079898,0.025105744303452037,24.85702704665105
equilibrium_control_0,wf_02,2023-03-23,2023-03-24,2023-04-03,MWG,consumer_retail,39850,39835.97795373359,37800,0.6976465042856167,0.052461370017992254,0.9917184025188444,False,0.022439531368102797,0.0,2,200,2,0,0.022037671808313952,1,33977,10735,0.004397421728882908,69527,35550,True,3.8435983909737135,0.05144291091593475,False,False,-2.124213856865545,-0.008909920312684696,0.00011545933329458967,0.010396182732054147,-0.2797958136484655,0.002602770919993888,-0.10680529300567108,-0.06604442344045369,0.029919375157470396,24.354901300029365
equilibrium_control_0,wf_02,2023-03-22,2023-03-24,2023-03-29,HPG,materials,21000,20974.62403906616,20300,1.337138403224042,0.03269244190489462,0.8007592920798291,False,0.026213933849401832,0.0,1,100,1,0,0.024390243902439046,1,41675,35450,0.020298820062589044,41675,0,True,1.870072308065041,0.03333333333333333,False,False,-0.9163810328972558,-0.013393154943151473,-0.0005200822464917582,0.00883725294222806,-0.38412272516392626,-0.007930173890379562,-0.022157996146435453,-0.0025289017341040463,0.03495191179920244,26.03513689828831
equilibrium_control_0,wf_02,2023-04-03,2023-04-04,2023-04-12,HPG,materials,21800,21764.206586985678,21000,1.3403857527911325,0.035744282997536056,0.7853730139245387,False,0.019132653061224487,0.0,2,200,3,0,0.01654272860150341,1,-115196,-134125,-0.027064344659481366,31479,146675,True,2.6910744386291157,0.03669724770642202,False,False,-1.2525423285373722,-0.013234367646418756,-0.00022324513831267613,0.009667614553710924,-0.3320064373032198,0.07957424019782638,0.0051213325037093764,-0.006365768439190159,0.02551020408163265,25.996559121599194
equilibrium_control_0,wf_02,2023-04-05,2023-04-06,2023-04-11,VCB,banks,93200,93114.68281802295,92100,0.48313337144149654,0.01095693876966268,0.8342947613135513,False,0.018070420350550644,0.0,1,100,1,0,0.015250544662309462,0,-325995,-353100,-0.03545825053269769,0,325995,False,1.0088016080202822,0.011802575107296138,True,False,-0.5189440862387058,-4.6068576885693316e-05,0.00024177370501116864,0.012123167514629048,0.013160081844190178,0.06156128128216392,0.001892826838979179,-0.012575332332528338,0.024093893800734192,24.559634043732114
