level,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
1,50,20,30,-653020,-13060.4,0.7217568408225178
2,20,10,10,1166050,58302.5,7.609698721764023
3,8,3,5,242737,30342.125,2.7698651111921255
4,5,0,5,-137150,-27430,0.0
