rotation,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
2023-04,5,0,5,-986015,-197203,0.0
2023-05,10,10,0,1205285,120528.5,infinity
2023-07,20,0,20,-548600,-27430,0.0
2023-08,28,18,10,972927,34747.392857142855,3.5703789810179254
2023-10,20,5,15,-24980,-1249,0.9717588536220005
