rotation,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
2025-01,24,0,24,-2789463,-116227.625,0.0
2025-02,9,9,0,295890,32876.666666666664,infinity
2025-03,3,3,0,51951,17317,infinity
2025-04,24,0,24,-10228806,-426200.25,0.0
