ticker,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
MBB,12,0,12,-2191209,-182600.75,0.0
TCB,12,0,12,-3299496,-274958,0.0
VCB,18,6,12,-6670830,-370601.6666666667,0.03730241539200873
VPB,18,6,12,-508893,-28271.833333333332,0.14936966572726634
