level,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
1,24,12,12,-4824381,-201015.875,0.067251753695027
2,12,0,12,-4586463,-382205.25,0.0
3,12,0,12,-1779717,-148309.75,0.0
4,12,0,12,-1479867,-123322.25,0.0
