variant,fold_id,signal_date,entry_date,exit_date,ticker,sector,fair_value_centre_vnd,signal_close_vnd,spacing_fraction,maximum_levels,first_level,maximum_inventory_shares,target_sales,net_pnl_vnd,double_cost_pnl_vnd,campaign_return,normal_target_gain_vnd,other_loss_vnd,target_completion,opportunity_score,fair_value_discount_fraction,crash_veto_triggered,hard_lower_triggered,residual_z5,residual_1,residual_slope20,downside_semivol20,residual_ar1_20,market_return20,close_minus_sma50_fraction,sma20_minus_sma50_fraction,atr20_fraction,log_median_value60
anchor_touch_1,wf_01,2023-01-03,2023-01-04,2023-01-10,MWG,consumer_retail,45950,43950,0.03,1,1,100,0,-232043,-244905,-0.05271795915705973,0,232043,False,1.6929145397292453,0.04352557127312296,False,True,-0.6694259790533513,-0.025707464213654704,-0.0005197170119922379,0.011718079835144059,-0.3691415355983142,-0.04320185616888815,-0.021550380693708536,0.009060955518945634,0.042526680751936725,25.0254502776967
anchor_touch_1,wf_01,2023-01-12,2023-01-13,2023-01-18,MWG,consumer_retail,43550,42100,0.026764506277570408,1,1,100,1,117702,104780,0.02771832816812517,117702,0,True,1.8858129142783766,0.03329506314580941,False,False,-0.9528124284714002,-0.009940641959243187,-0.0005824205619147343,0.013094997268466819,-0.1405208835180571,-0.005523183224774837,-0.03656917936747677,0.013147054785116024,0.03568600837009388,24.85521056918154
anchor_touch_1,wf_01,2023-02-01,2023-02-02,2023-02-10,VPB,banks,18950,18300,0.025858704137392663,1,1,100,0,-82193,-87615,-0.044482315961744116,0,82193,False,2.5278511334379976,0.03430079155672823,False,True,-1.5329987413436084,-0.02586222938158024,-0.0011492383018032063,0.011304253289152218,0.039874550478630005,0.06903848309924332,0.037591427113454666,0.07189431309179566,0.03447827218319022,25.878175514704694
anchor_touch_1,wf_01,2023-02-03,2023-02-06,2023-02-14,TCB,banks,27850,27100,0.020690564048497628,1,1,100,1,18138,1760,0.006646176305051358,58964,40826,True,1.756936338579834,0.026929982046678635,False,False,-0.7807673715247504,-0.015439437536990262,-0.0004797282989319302,0.007587966006236455,0.09033264780744031,0.08659968695095337,0.0018854671152353137,0.03552811564198307,0.02758741873133017,25.076200627836677
anchor_touch_1,wf_01,2023-02-07,2023-02-08,2023-02-13,VND,securities,15050,14350,0.03,1,1,100,0,-95615,-99860,-0.06539163856954294,0,95615,False,2.3127545612517713,0.046511627906976744,False,True,-1.3325951857435587,-0.012459410332888499,-0.0005903839102781305,0.013134900360149995,-0.38247237575457455,0.01577354094193748,-0.005544005544005544,0.05474705474705475,0.047453127592500415,25.625914354965143
anchor_touch_1,wf_01,2023-02-10,2023-02-13,2023-02-21,MWG,consumer_retail,44750,42100,0.026764506277570408,1,1,100,1,242489,229455,0.057443839289246526,242489,0,True,3.511682598274197,0.05921787709497207,False,False,-1.8522681722943297,-0.03544704784428822,-0.0005357030295615614,0.0171163602343694,0.1941840597086394,0.005025895383654303,-0.05753301992388628,-0.000167897918065816,0.03568600837009388,24.817816252979163
anchor_touch_1,wf_01,2023-02-14,2023-02-15,2023-02-20,MBB,banks,18550,17850,0.019707883153261302,1,1,100,1,57677,52210,0.03217352741836965,57677,0,True,1.973537772899231,0.03773584905660377,False,False,-0.5374684308821827,-0.012799224733357595,-0.00012234486818219742,0.005687732236774619,-0.234006916807687,-0.008862700200300524,-0.021542509455681633,0.027243326207312395,0.026277177537681738,25.197943209149894
anchor_touch_1,wf_01,2023-02-15,2023-02-16,2023-02-24,VPB,banks,18450,17200,0.02647425249169435,1,1,100,0,-36925,-42130,-0.02106839740389416,0,36925,False,2.6129797387932676,0.06775067750677506,False,False,-0.6936428983660394,0.022187320878074623,-0.0004362034684441696,0.01273728251138791,0.038106915292780895,0.004112224293018945,-0.04856731939373825,0.02444960725743998,0.03529900332225913,25.86386685547126
anchor_touch_1,wf_02,2023-03-01,2023-03-02,2023-03-06,MWG,consumer_retail,43150,40800,0.02779236694677871,1,1,100,0,-71143,-83270,-0.017453672071744964,0,71143,False,2.2988148526786243,0.054461181923522596,False,True,-0.8291348315109341,0.0015046299895985354,-0.00010674654690518619,0.01621139795882039,-0.21833829995219525,-0.037220540527706736,-0.07642158638174575,-0.011171224194132561,0.037056489262371616,24.64954986881481
anchor_touch_1,wf_02,2023-03-01,2023-03-02,2023-03-10,MBB,banks,18250,17650,0.021246458923512748,1,1,100,0,-22043,-27330,-0.012435019786704124,0,22043,False,2.0844809596859384,0.03287671232876712,False,False,-0.9239330144804593,-0.0004561346742772872,-4.338929181488896e-05,0.005326922953868286,-0.436242440182133,-0.04513832130204648,-0.03345928481463228,-0.004161875034225946,0.028328611898016998,25.021797575014435
