rank,eligible,variant,reclaim_fraction,crash_veto,maximum_levels,selected_campaigns,selected_targets,selected_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,target_gains_vnd,other_losses_vnd,grid_economic_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,target_rate_quintile_spread,annualized_fold_sharpe,realized_maximum_drawdown_vnd,realized_maximum_drawdown_fraction,worst_pnl_vnd,forced_loss_reduction_vs_touch,target_gain_retention_vs_touch
,False,anchor_touch_1,0.0,False,1,61,18,-2514716,-45921,0.3861148644112689,-3208795,-2757205,1558471,4143776,-2585305,0.25,0.4136914000881342,2,0.6557377049180327,-0.16666666666666666,-1.6200287145987455,2540871,0.02540206608961426,-376510,0.0,1.0
,False,anchor_reclaim_1,0.25,False,1,58,25,-2529894,-29387.0,0.3591921531437881,-3194135,-2680821,1439579,3986910,-2547331,0.25,0.27067193575547815,2,0.6206896551724138,-0.1515151515151515,-1.8257189566942162,2632413,0.02629717040387365,-325395,0.037855810738804396,0.923712407866428
,False,anchor_reclaim_veto_1,0.25,True,1,44,18,-1501888,-25614.0,0.39029506317330837,-2043565,-1652815,960705,2518807,-1558102,0.25,0.30573685661238903,2,0.6136363636363636,-0.08695652173913043,-1.572976776425156,1501888,0.01501888,-204365,0.39214692106909255,0.6164407294072203
,False,anchor_reclaim_veto_2,0.25,True,2,48,24,-1479791,-17385.5,0.4924609517015249,-2158550,-1788547,1291084,3227432,-1936348,0.25,0.35673746664818723,2,0.6458333333333334,0.037037037037037035,-1.5321450939973553,1503711,0.015037017973450003,-204365,0.2211374360004016,0.8284299162448323
