trial_id,fold_id,tickersymbol,cost_scenario,event_time,side,reason,level_id,quantity,reference_book_price_vnd,execution_price_vnd,execution_friction_vnd,settlement_locked_at_risk_trigger,gross_notional_vnd,commission_vnd,sell_tax_vnd,cash_change_vnd,realized_pnl_vnd,settlement_time,total_quantity_after,tradeable_quantity_after,locked_quantity_after,available_cash_after_vnd,pending_cash_after_vnd
TRIAL5-HSX-ROTATION-LONG-GRID,wf_11,MWG,doubled,2024-09-05T10:47:00,BUY,grid_buy,0,100,68200,68300,10000,false,6830000,20490,0,-6850490,,2024-09-09T13:00:00,100,0,100,43321779,0
TRIAL5-HSX-ROTATION-LONG-GRID,wf_11,MWG,doubled,2024-10-09T09:15:00,SELL,prior_close_below_grid,0,100,65000,64900,10000,false,6490000,19470,6490,6464040,-386450,2024-10-11T13:00:00,0,0,0,43321779,6464040
TRIAL5-HSX-ROTATION-LONG-GRID,wf_12,TCB,primary,2024-11-08T14:11:00,BUY,grid_buy,0,300,23500,23500,0,false,7050000,10575,0,-7060575,,2024-11-12T13:00:00,300,0,300,42928459,0
TRIAL5-HSX-ROTATION-LONG-GRID,wf_12,TCB,primary,2024-11-15T09:15:00,SELL,prior_close_below_grid,0,300,22750,22700,15000,false,6810000,10215,6810,6792975,-267600,2024-11-19T13:00:00,0,0,0,42928459,6792975
TRIAL5-HSX-ROTATION-LONG-GRID,wf_12,TCB,doubled,2024-11-08T14:11:00,BUY,grid_buy,0,300,23500,23500,0,false,7050000,21150,0,-7071150,,2024-11-12T13:00:00,300,0,300,42917884,0
TRIAL5-HSX-ROTATION-LONG-GRID,wf_12,TCB,doubled,2024-11-15T09:15:00,SELL,prior_close_below_grid,0,300,22750,22700,15000,false,6810000,20430,6810,6782760,-288390,2024-11-19T13:00:00,0,0,0,42917884,6782760
TRIAL5-HSX-ROTATION-LONG-GRID,wf_13,TCB,primary,2025-01-03T09:27:00,BUY,grid_buy,0,300,24250,24250,0,false,7275000,10913,0,-7285913,,2025-01-07T13:00:00,300,0,300,42569321,0
TRIAL5-HSX-ROTATION-LONG-GRID,wf_13,TCB,primary,2025-01-13T09:15:00,SELL,prior_close_below_grid,0,300,23200,23150,15000,false,6945000,10418,6945,6927637,-358276,2025-01-15T13:00:00,0,0,0,42569321,6927637
TRIAL5-HSX-ROTATION-LONG-GRID,wf_13,TCB,doubled,2025-01-03T09:27:00,BUY,grid_buy,0,300,24250,24250,0,false,7275000,21825,0,-7296825,,2025-01-07T13:00:00,300,0,300,42558409,0
TRIAL5-HSX-ROTATION-LONG-GRID,wf_13,TCB,doubled,2025-01-13T09:15:00,SELL,prior_close_below_grid,0,300,23200,23150,15000,false,6945000,20835,6945,6917220,-379605,2025-01-15T13:00:00,0,0,0,42558409,6917220
TRIAL5-HSX-ROTATION-LONG-GRID,wf_14,HPG,primary,2025-03-19T09:17:00,BUY,grid_buy,0,200,27500,27500,0,false,5500000,8250,0,-5508250,,2025-03-21T13:00:00,200,0,200,44167846,0
TRIAL5-HSX-ROTATION-LONG-GRID,wf_14,HPG,primary,2025-04-04T09:15:00,SELL,prior_close_below_grid,0,200,23850,23800,10000,false,4760000,7140,4760,4748100,-760150,2025-04-09T13:00:00,0,0,0,44167846,4748100
TRIAL5-HSX-ROTATION-LONG-GRID,wf_14,HPG,doubled,2025-03-19T09:17:00,BUY,grid_buy,0,200,27500,27500,0,false,5500000,16500,0,-5516500,,2025-03-21T13:00:00,200,0,200,44159596,0
TRIAL5-HSX-ROTATION-LONG-GRID,wf_14,HPG,doubled,2025-04-04T09:15:00,SELL,prior_close_below_grid,0,200,23850,23800,10000,false,4760000,14280,4760,4740960,-775540,2025-04-09T13:00:00,0,0,0,44159596,4740960
