trial_id,fold_id,sample_role,ticker,sector,signal_date,entry_date,exit_date,exit_reason,exit_session_offset,entry_price_vnd,exit_price_vnd,target_vnd,downside_vnd,grid_distance_fraction,gap_down_exit,target_first,net_pnl_vnd,net_return,double_cost_net_pnl_vnd,double_cost_net_return,residual_z5,residual_1,residual_5,residual_slope20,downside_semivol20,residual_ar1_20,ticker_return5,market_return5,atr20_fraction,log_median_value60,predicted_probability,base_probability,estimated_ev_vnd,selected,selection_rank
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-01-04,2023-01-05,2023-01-09,downside_touch,2,43900,42583,45217,42583,0.03,False,False,-153228,-0.03483414067693192,-174853,-0.039670948907825444,-0.7967376469178213,-0.012667444239609324,-0.031373923447233575,-0.0008065234240289351,0.012147233668877176,-0.23533083829640006,-0.006353804952302311,0.02269430818888833,0.04187192118226601,25.01950293878408,0.6892672668274574,0.3614457831325301,49545.64790451375,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-01-06,2023-01-09,2023-01-16,downside_touch,5,43150,41856,44444,41856,0.03,False,False,-150635,-0.034839567072093285,-171765,-0.039647915705851314,-1.5949412413506792,-0.0011164871129361199,-0.05646755361925998,-0.0006141193350962234,0.011831748943773203,-0.17613596078680205,0.006214366282976336,0.05687500751708366,0.03856977321635491,24.979217460957937,0.5330283914786828,0.3614457831325301,7011.424791285353,False,
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-01-09,2023-01-10,2023-01-17,target,5,42000,43260,43260,40740,0.03,False,True,104587,0.024851945025226908,83279,0.019749275104207847,-2.226777464090701,-0.03314357499587511,-0.08451364428774369,-0.0010094998630278773,0.013869444985710643,-0.2019797067752673,-0.020436850403002804,0.05882824866133805,0.03905895691609977,24.900193531076276,0.7568023448550272,0.3614457831325301,67931.29021268766,False,
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-01-10,2023-01-11,2023-01-18,target,5,42300,43569,43569,41031,0.03,False,True,105365,0.024859335303865943,83834,0.019740031736067434,-1.4507667636318067,0.006332479957984624,-0.051778914088073634,-0.00041967436477680797,0.013863647912649196,-0.16797611670767926,-0.04015047011662243,0.010683411494923072,0.03825321597833446,24.85521056918154,0.6182927620362326,0.3614457831325301,30223.661520511465,False,
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-01-11,2023-01-12,2023-01-18,target,4,42550,43826,43826,41274,0.03,False,True,105963,0.02485360571138266,84231,0.01971663438729349,-0.9887639388047119,0.004698928275242735,-0.03444557476284779,-0.0005527310560310936,0.012900163967605585,-0.13828032980101915,-0.021617723404233735,0.011782617572594602,0.0364836886576017,24.85521056918154,0.5208530457758869,0.3614457831325301,3696.828027532669,False,
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,VPB,banks,2023-01-11,2023-01-12,2023-01-13,target,1,18600,19158,19158,18042,0.03,False,True,46322,0.02485497864184567,36844,0.019729197434411823,-0.7771265235454464,-0.018319294490365762,-0.034400403223204465,-0.0011142694889747678,0.008935499757407466,0.055205295621875504,-0.02395808584829562,0.012042657844157032,0.0411666021422119,25.774911779766597,0.28705520815084345,0.3614457831325301,-59951.92371069425,False,
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-01-12,2023-01-13,2023-01-18,target,3,42400,43672,43672,41128,0.03,False,True,105624,0.02486169704196553,84053,0.019744966622683515,-0.9528124284714002,-0.009940641959243187,-0.033277248829967604,-0.0005824205619147343,0.013094997268466819,-0.1405208835180571,-0.03449236716343518,-0.0011151783229434134,0.03568600837009388,24.85521056918154,0.5454665115943937,0.3614457831325301,10397.558843580518,False,
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-01-13,2023-01-16,2023-01-17,target,1,42050,43312,43312,40788,0.03,False,True,104766,0.024864889753218947,83437,0.01976323999935573,-1.1163725350573264,-0.00672068828006832,-0.03878075380933919,-0.0007375619505692809,0.012903441418379883,-0.1164078456937624,-0.025358914702060975,0.012312390248160653,0.03470924636204066,24.84754259447336,0.5148168459184882,0.3614457831325301,2053.5425717362523,False,
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-01-17,2023-01-18,2023-01-18,target,0,43500,44805,44805,42195,0.03,False,True,108377,0.024864364098883894,86257,0.019750361946098825,-1.0816938637698301,-0.009534123146802034,-0.036236316355926716,-0.0006067976877604152,0.013352152457237275,-0.17302258218147462,0.02040951601172558,0.053831704349341356,0.0324650185277363,24.817816252979163,0.36193781985399304,0.3614457831325301,-39566.000512175844,False,
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,TCB,banks,2023-01-19,2023-01-27,2023-01-31,downside_touch,2,29350,28522,30178,28522,0.028227785959744723,False,False,-97232,-0.03306193161628818,-111661,-0.037893395830066984,-1.3617124826329476,-0.012206953584736207,-0.03730584026980258,-0.00028111276737495164,0.007979793075648188,-0.24210906910423763,0.044472780382988075,0.07195771150710964,0.028227785959744723,25.04495405103188,0.17507431608050333,0.3614457831325301,-90437.42379577633,False,
