trial_id,fold_id,sample_role,ticker,sector,signal_date,entry_date,exit_date,exit_reason,exit_session_offset,entry_price_vnd,exit_price_vnd,target_vnd,downside_vnd,grid_distance_fraction,gap_down_exit,target_first,net_pnl_vnd,net_return,double_cost_net_pnl_vnd,double_cost_net_return,residual_z5,residual_1,residual_5,residual_slope20,downside_semivol20,residual_ar1_20,ticker_return5,market_return5,atr20_fraction,log_median_value60,predicted_probability,base_probability,estimated_ev_vnd,selected,selection_rank
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-01-04,2023-01-05,2023-01-09,downside_touch,2,43900,42583,45217,42583,0.03,False,False,-153228,-0.03483414067693192,-174853,-0.039670948907825444,-0.7967376469178213,-0.012667444239609324,-0.031373923447233575,-0.0008065234240289351,0.012147233668877176,-0.23533083829640006,-0.006353804952302311,0.02269430818888833,0.04187192118226601,25.01950293878408,0.6892672668274574,0.3614457831325301,49545.64790451375,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,VND,securities,2023-02-02,2023-02-03,2023-02-07,downside_touch,2,15150,14696,15604,14696,0.03,False,False,-52846,-0.03481121473656752,-60290,-0.0396370927977384,-2.150240845139557,-0.030946373796565962,-0.07514743906252384,-0.0006493418852035652,0.012519778769226005,-0.3451714683171404,-0.1004385421571855,-0.01757736478133085,0.04399243140964996,25.625914354965143,0.7704732916274125,0.3614457831325301,71653.04703465436,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,SSI,securities,2023-02-07,2023-02-08,2023-02-08,downside_touch,0,19400,18818,19982,18818,0.03,False,False,-67714,-0.03483388136911547,-77226,-0.0396493141232391,-1.2298619086520168,-0.006462547264596323,-0.032075760786483686,-0.00019400787212764105,0.008078562716021895,-0.4049737412037023,-0.12182251840683844,-0.06449351410625077,0.04174478190226221,25.70787715925348,0.7062915886339116,0.3614457831325301,54180.32221620899,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,oos,MWG,consumer_retail,2023-02-10,2023-02-13,2023-02-15,target,2,42100,43363,43363,40837,0.03,False,True,104847,0.024854578185471425,83497,0.019753986604186622,-1.8522681722943297,-0.03544704784428822,-0.1095714401836996,-0.0005357030295615614,0.0171163602343694,0.1941840597086394,-0.12502722151192303,-0.017427652144248525,0.03568600837009388,24.817816252979163,0.695222790131688,0.3614457831325301,51166.97010369559,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,oos,MWG,consumer_retail,2023-03-08,2023-03-09,2023-03-14,downside_touch,3,39600,38412,40788,38412,0.03,False,False,-138241,-0.03483946215961268,-157679,-0.039658773427447225,-1.6289507213832555,-0.017256911517479066,-0.04411653877523358,-0.00029878393463954897,0.012366042005451893,-0.22036883408553484,-0.034529870029261,0.015760169589540678,0.030879864636209817,24.5015040462175,0.5190143367189117,0.3884297520661157,2358.040457756615,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,oos,TCB,banks,2023-03-10,2023-03-13,2023-03-15,target,2,26550,27279,27279,25821,0.02744891695167938,False,True,59400,0.022328443128628372,45901,0.017219291338434986,-0.9459418129809641,-0.0180081518788282,-0.02330385892033145,-0.00047948637987626374,0.008222879996573493,-0.4568344072274054,0.013562699697820535,0.03586313572479412,0.02744891695167938,24.523185422123653,0.5363258595124906,0.3884297520661157,6609.991975991987,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,oos,TCB,banks,2023-03-22,2023-03-23,2023-03-28,target,3,26200,26890,26890,25510,0.026354053071610324,False,True,55748,0.021235456523461545,42400,0.016118804714598315,-0.7849331708724024,-0.009742326575966674,-0.01963637448145585,-0.0005564324084001589,0.00919953686718411,-0.305180237194184,-0.03717489207807734,-0.018506789091704372,0.026354053071610324,24.463712963427817,0.5812813474519398,0.3884297520661157,17651.687006313274,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,oos,MWG,consumer_retail,2023-03-22,2023-03-23,2023-03-28,target,3,37600,38728,38728,36472,0.03,False,True,93680,0.024865011494228467,74464,0.019725087421733675,-1.9705043727585139,-0.017944223465459506,-0.039967042310256065,0.0001234200359875637,0.010242387182251627,-0.3268625218253832,-0.05178195047954026,-0.016883782602652934,0.031118639814291988,24.362014610049563,0.5378508036985477,0.3884297520661157,6984.539543207429,True,2
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,oos,PNJ,consumer_retail,2023-04-07,2023-04-10,2023-04-11,target,1,76600,78050,78050,75150,0.018923124805477747,False,True,106301,0.013849759019065844,67511,0.008778261233075832,-0.844302550926589,-0.004477673132026027,-0.02103189236866958,-0.00036046512530436684,0.008908960580112287,-0.3224235805450832,-0.015423352352644137,0.01730816234564858,0.018923124805477747,23.352352192638293,0.8602540586312957,0.3884297520661157,86171.27693431631,True,1
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,PNJ,consumer_retail,2023-05-10,2023-05-11,2023-05-18,downside_touch,5,75200,73905,76495,73905,0.017223910840932118,False,False,-166753,-0.022130205282328563,-203897,-0.027005931856104344,-1.4011275925678257,-0.007119246616699645,-0.02595645213089825,-0.000501543473748535,0.005494274514246824,0.07185061044149721,-0.023554833576512668,0.009489546862816209,0.017223910840932118,23.31660527811632,0.746964121228922,0.4744897959183674,40385.09168048113,True,1
