fold_id,iterations,converged,base_probability,mean_residual_z5,mean_residual_1,mean_residual_5,mean_residual_slope20,mean_downside_semivol20,mean_residual_ar1_20,mean_ticker_return5,mean_market_return5,mean_atr20_fraction,mean_log_median_value60,scale_residual_z5,scale_residual_1,scale_residual_5,scale_residual_slope20,scale_downside_semivol20,scale_residual_ar1_20,scale_ticker_return5,scale_market_return5,scale_atr20_fraction,scale_log_median_value60,intercept,weight_residual_z5,weight_residual_1,weight_residual_5,weight_residual_slope20,weight_downside_semivol20,weight_residual_ar1_20,weight_ticker_return5,weight_market_return5,weight_atr20_fraction,weight_log_median_value60
wf_01,6,True,0.3614457831325301,-1.5899237893941045,-0.010231808039850845,-0.04833972021813734,-0.0005886460433269312,0.011241817514997572,0.0668092007741176,-0.06364878995585034,-0.022986380089684406,0.03273392678760588,25.048263732224342,0.7507146953807928,0.01581275396926646,0.02769770482422406,0.00040770627750718084,0.00392198733671914,0.20937327861201332,0.06143825194915333,0.07002202590160256,0.010364462911672081,0.5658783575818774,-0.7907941043021716,0.2874120078718095,-0.054339037187976544,-0.18874230268589745,-0.2861724565083732,-0.2717217781428557,-0.5833172044341219,-1.1538329578324238,0.6574909602798339,1.1884575518487321,-1.1482135775805897
wf_02,6,True,0.3884297520661157,-1.4828123077713082,-0.009535448352169563,-0.04651677935373229,-0.0005792542617247938,0.011082623176380571,0.008936816753098938,-0.05614732812830719,-0.014606769555579295,0.03326044498475866,25.095778597591764,0.6777344456722608,0.014856241389972736,0.02600066314460819,0.0003704392422280316,0.003688279427705687,0.21634997998540123,0.058517654887929725,0.063661335862538,0.00982632272730447,0.5421943162410267,-0.5779244741163453,0.30604238850239507,-0.07979275782188647,-0.11778289531966478,-0.28095014036365523,-0.4317486519662691,-0.0688718817885493,-0.7971697808077689,0.5173117902068535,0.8848272581103068,-1.1326599566739732
wf_03,4,True,0.4744897959183674,-1.3838294710639012,-0.008208427430307858,-0.0400316214564849,-0.00045120780426671417,0.010380869535436411,-0.060697413233098574,-0.04419352030460939,-0.0071973494365150225,0.031109374714117066,25.02475584540187,0.6112890847010968,0.01298258273590577,0.023341776306755626,0.0003991619540537337,0.0035660113134177314,0.22415373241335868,0.050864647311931716,0.0525703103248497,0.008998243707704736,0.5824659409980545,-0.10659906256400234,0.24866540561416675,-0.011786856240879317,-0.3382637614041128,0.009685144428694403,-0.4705887368642337,-0.009621444636990318,-0.33113247341940044,0.4022492970357176,0.32787327377608866,-0.43502557182506163
wf_04,4,True,0.5205992509363296,-1.3715851846671876,-0.0075156055030927,-0.03698494179491979,-0.00040520325514026143,0.009611456852597315,-0.06640368986992785,-0.03838405856895182,-0.0032176042149680245,0.02841993527091077,24.97606132260928,0.585330069325244,0.012007518642127308,0.021445865081711448,0.00038132956550631216,0.0035485467003794685,0.21172093009280077,0.0460475749142404,0.046503114750760514,0.009402061110776922,0.6992197043944411,0.0849470732807939,0.38352850860205234,0.001489672199096178,-0.4902615973312532,0.058310716999545605,-0.11368425525779786,-0.10288081975599125,-0.09770681827687304,0.3197470506380855,-0.3075739563999346,0.3151032086828442
wf_05,4,True,0.5487012987012987,-1.3540695767364808,-0.007275256398025143,-0.03671613888685296,-0.00039680733387772164,0.00961743817268023,-0.0698895304569734,-0.03590206972593178,-0.000973454730529587,0.027822007576934562,25.000257954279835,0.5765107895455155,0.011882851185795053,0.02203049458469335,0.0003860812755410744,0.00370518592089775,0.21171352543896876,0.044380820007241466,0.04407436009753526,0.009240547099794605,0.6940098434923002,0.20435187031036853,0.39173276264578016,-0.025459470052874134,-0.5081359461764766,0.07463285874004369,-0.08326748961115614,-0.12961567834986584,-0.16104827762680457,0.3780115651716408,-0.38542980245922154,0.3518999508303943
wf_06,5,True,0.5993265993265994,-1.2768714911514671,-0.00636294243255453,-0.03450622727437932,-0.00032349428542971514,0.009410988080066459,-0.09631565865712748,-0.02854253496168258,0.008284642380709896,0.027606270596757066,25.076068211708908,0.46453295805439815,0.010901784960228809,0.01771000040298921,0.0003695570587536179,0.0033128632170194784,0.1860248683363726,0.037745595329621816,0.034631010335854896,0.008646329064815833,0.7512836691931578,0.42490339883160705,-0.046222438985908096,0.13411275276354467,-0.20393878142240093,-0.12223998047833502,-0.012943365193302778,0.052891514801917915,0.4059420129053426,-0.11608557028416842,-0.21772486222226825,0.41567774547248937
wf_07,5,True,0.5890909090909091,-1.2810342473697724,-0.00622480961973194,-0.03371318679293902,-0.00031404865263602035,0.009168378720491914,-0.10655968499484808,-0.03061291725921906,0.004055903160052486,0.0265801049876558,25.104063436627015,0.4726153403867606,0.010773635846669637,0.017550119790152082,0.00036280975521110574,0.0032287165628530888,0.1869511136996383,0.03506780572355795,0.026783929358590558,0.007968426110260694,0.7715237063757413,0.39130109944860336,-0.10642981252313624,0.14477314483839435,-0.09190655695222028,-0.03964187798187624,0.21471466274615944,0.009677210787897178,0.44974175503633057,-0.14573223571784163,-0.49849478589227814,0.6058494419070154
wf_08,5,True,0.6398467432950191,-1.2931512640073386,-0.005949696128495776,-0.03172522037168543,-0.0002703042362866405,0.008748239068513426,-0.09766839247297347,-0.02633366335632946,0.0063134733392952325,0.024386543420259185,25.137983701704236,0.47549786900764485,0.010364443978373146,0.015818779775957192,0.0003597621593080612,0.0029669575570151915,0.18691407790878217,0.03149277118922229,0.022572536538222995,0.007501319096424335,0.8133803468541294,0.683775829236977,-0.05982434582138343,0.24774102730025538,-0.08466946155392113,-0.12449526007236944,0.0494658702302456,0.0035023942837724377,0.24111630853414281,0.20014418875126214,-0.47912256415143883,0.823537397047473
wf_09,5,True,0.6135458167330677,-1.290357053742121,-0.006039071876552278,-0.03243969373661689,-0.00030631582010371425,0.008612081806149216,-0.029224252273617354,-0.024163880382458463,0.010076555295776826,0.02340320332605423,25.462416445305212,0.4514829488443785,0.010466201325118994,0.01628232144428209,0.00037723512870625335,0.002838988227458696,0.19142588788471201,0.03266705401560177,0.024828754232433282,0.0071527076239704165,0.7733347121192675,0.4864689939072717,0.2828647314047383,0.0011406550764531632,-0.227221743063827,-0.14878632529672972,0.18211762657866754,-0.15582069164804593,-0.11386046813677002,0.017872379960232915,-0.7168753237206202,0.3787045413956897
wf_10,5,True,0.58,-1.3291444000240755,-0.006264369841035406,-0.033288930564144906,-0.00028675445872747247,0.008662463392221556,-0.013908914813553969,-0.02743709466947434,0.007070318481522128,0.02426932745046939,25.68139429264684,0.49235903841111833,0.01049341456502567,0.017632460156936727,0.00036541997933942994,0.0026240534084598795,0.2063627589154954,0.03495874122594187,0.029511880188943698,0.007428528297618265,0.647020226625254,0.3357715419974197,-0.13043421552474452,-0.022818703930732997,-0.020793311923242033,-0.13149946587847072,0.2231506156755146,-0.17830674089925774,0.14275232069340074,0.13932282025013432,-0.2482628815179991,0.09731748585478267
