partition,fold_id,ridge_penalty,train_observations,return_intercept,return_residual_z5,return_residual_1,return_residual_slope20,return_downside_semivol20,return_residual_ar1_20,return_market_return20,return_close_minus_sma50_fraction,return_sma20_minus_sma50_fraction,return_atr20_fraction,return_log_median_value60,downside_intercept,downside_residual_z5,downside_residual_1,downside_residual_slope20,downside_downside_semivol20,downside_residual_ar1_20,downside_market_return20,downside_close_minus_sma50_fraction,downside_sma20_minus_sma50_fraction,downside_atr20_fraction,downside_log_median_value60
in_sample,wf_01,10,291,-0.016842271914747815,0.0014820505780791422,0.0016046837739352798,0.0007407719627156779,0.0002539044823427054,0.005018880807307668,0.004145958394320767,-0.0036657943307251742,0.0074203447812489455,0.009871819053884652,-0.01103765082894986,0.025570503522100833,-0.0024076238983886536,-0.0007333338333289218,-0.0009130896379500753,8.386409850616168e-05,-0.0029688009066027674,-0.004973717990222585,0.0040434952797180615,-0.006279735706388874,-0.003693133259052697,0.007903883862843799
in_sample,wf_01,100,291,-0.016842271914747808,0.001052887071171832,0.0013497488351432022,-0.0007153396509786002,0.002154985960606807,0.0031545621146020757,0.002396093930319118,0.00016846816827271799,0.0024070806870699867,0.005182683276335702,-0.007110398709637961,0.02557050352210083,-0.0012819481013030657,-0.0007125718364261132,0.00010851395416775031,-0.0007811956905544633,-0.001664378784345574,-0.0024904448823809514,-5.5633519342084556e-05,-0.0023489756110777736,-0.0016381069779151324,0.005301044941621397
in_sample,wf_01,1000,291,-0.016842271914747797,0.00026953901562037387,0.00035804727085239553,-0.00012134335266338717,0.0011288160365352448,0.001084649033909231,0.000862821379956513,0.00039405008825736567,-8.756987987729106e-06,0.0012858725458785927,-0.0019103798863462855,0.025570503522100822,-0.00033015155373374483,-0.00022887316122179426,1.8248447413824026e-05,-0.0003141680242750817,-0.0004417347385310986,-0.0008056197488306114,-0.0005180822705557463,-0.0003562005652171982,-0.000250808143984158,0.0015146154139356138
in_sample,wf_02,10,550,-0.015453496501760715,0.00028502340464195246,-0.0009311204978902711,0.00458534767282444,0.0005222431930581297,0.00411268428581788,-0.005100895039188266,-0.0005884017964473106,0.01037424376183137,0.010227000551508506,-0.01336356664522006,0.024150234892158673,-0.0011296599370680665,0.00042775943479561346,-0.003869129508817725,-0.0003010636535716875,-0.0018448554647080703,0.0017008519148534375,0.003218852539453842,-0.008880875086165642,-0.00457049711662175,0.009987591602894636
in_sample,wf_02,100,550,-0.015453496501760724,0.001271506004502669,-0.0004777539841909612,0.0023025882236740562,0.0015945106932750974,0.0029032938006171983,-0.003297991099851849,0.00038347112746785157,0.005859074202661813,0.00620454307038351,-0.009574840548278313,0.02415023489215868,-0.0013328337616522524,0.00010103693882482249,-0.002119423672189245,-0.0007084892226757905,-0.0011704951120274424,0.0013096765930224147,0.0009994996654206023,-0.004902172857703617,-0.002386753970515139,0.007398602441018147
in_sample,wf_02,1000,550,-0.015453496501760741,0.000850422074693583,7.855516292537875e-05,0.0006718001088008902,0.0009595654799525395,0.001142245213215537,-0.0005682749882968351,0.00020805399188120663,0.0007341495632719086,0.0013651130739614887,-0.0029995018565011538,0.024150234892158694,-0.0007560399884441832,-0.000193342848728853,-0.0006201292058841882,-0.00020103577413465266,-0.00044251123709232356,0.00017808902064648185,-8.011229220667221e-05,-0.0007698177917475812,-0.0001425599751345477,0.002531281012038779
in_sample,wf_03,10,940,-0.011326190800599364,0.000787986761080203,-0.0013432297164488126,0.0036576527236638246,-0.003696650783347441,-0.0005238204993273251,-0.00012357844926811734,-0.0028808710431216813,0.0012515646545156437,0.007213025694963904,-0.007856146528474658,0.01974823342096915,-0.0012794715928288022,0.0010376788058608331,-0.00302141157918317,0.002655381368586469,0.0015437900494222109,-0.0010072124512866352,0.004085155987550184,-0.0022504810178027397,-0.0024143274898517655,0.006346829188651377
in_sample,wf_03,100,940,-0.011326190800599366,0.0010916433230959447,-0.0010688042294637503,0.002786845724995017,-0.0019622829071011933,-0.0008711975034869836,-0.0004250115071439657,-0.0018272419183309194,0.00023171541334879222,0.004853616276862998,-0.006220636600077743,0.01974823342096915,-0.0011633009856848412,0.000809610324292293,-0.002340863251842618,0.0016724208587033146,0.001674845419091943,-0.00041819339485501823,0.0025290321079154197,-0.0009970810950864315,-0.0011869487328592383,0.0052913510121361095
in_sample,wf_03,1000,940,-0.011326190800599368,0.0008674092134271366,-0.00023931765501231195,0.00131810641309349,-6.980826038436809e-05,-0.0005517172390788656,-0.0003098593530374417,-0.0007366444011843922,-0.0007352179896476254,0.0011256622600901872,-0.002447995678524084,0.019748233420969152,-0.0006801084512116137,0.00017155777505823902,-0.0010704162709100269,0.0005872621123622239,0.0009338492250413811,-1.887237971120255e-05,0.000736057893380227,0.0003469645869481703,0.0003543383517920233,0.002444640691666268
in_sample,wf_04,10,1322,-0.007774722441788946,0.0011373828566244705,-0.0015638165360329825,0.00262502903838899,6.493773095802321e-05,-0.0015319115199542573,-0.00030931786817666715,-0.0005972582783058564,6.160258574422082e-05,-0.0001188081556000504,-0.0039038460388517745,0.015977941188665877,-0.0013028821465935006,0.0011266802786677704,-0.002344922057001464,-3.8781231609819966e-05,0.00200599804371997,-0.0008623093913627368,0.002494162270835003,-0.0013828788262348877,0.0030856520266073348,0.0034115631921438965
in_sample,wf_04,100,1322,-0.007774722441788945,0.0011108625040320429,-0.001369104683608831,0.002323713461183982,5.5937213260431765e-05,-0.0014233396165690693,-0.0002524177725833426,-0.00046989253421399023,-0.00018960478761250626,-0.0002666924757810025,-0.00353739186132917,0.01597794118866588,-0.0010541986128231524,0.000980690321137164,-0.0020614071163069813,0.00021285965592373127,0.001835494927862957,-0.0006367883682636244,0.0017746345531472868,-0.0007649973683021795,0.002788168733309641,0.00325218728912628
in_sample,wf_04,1000,1322,-0.007774722441788944,0.0007741252071758286,-0.0005542416191615912,0.0012830564689615086,-0.00013917292159266247,-0.0007788453474867959,-2.92738305271624e-05,-0.00027376637330332976,-0.0005745937133757267,-0.0005031818580627563,-0.0020108436076265697,0.01597794118866588,-0.0005458744976429588,0.0003942039959961753,-0.0010694335983864264,0.0007269410781661648,0.0010124841453601912,-0.0003173421165155102,0.000546516644572985,0.00024339459663654298,0.0017897838241960654,0.0021773579054852406
in_sample,wf_05,10,1514,-0.0065084222409064856,0.0008454846212095114,-0.0014956830152465794,0.003195657581347915,0.000714331393817402,-0.0008678199653063244,0.00019591164263223622,-0.0010071542489953616,0.00073798411028413,-0.0016626151775078165,-0.0026053076322104613,0.015109522434848572,-0.0011285151460433851,0.0011720396570538963,-0.002670257928143363,-0.00027416558150417423,0.001413306565791093,-0.0011617644302673966,0.002854137202473698,-0.0017738847783736636,0.0038114864597359657,0.0026151123672402544
in_sample,wf_05,100,1514,-0.0065084222409064856,0.0007998710253611448,-0.001326356074634384,0.002842966050868458,0.0005437446556767232,-0.0007761394539450225,0.00017611083205753056,-0.0007122993370941769,0.0003582789199152263,-0.0015210273586276633,-0.0024424131215888528,0.01510952243484857,-0.0008768442847205195,0.0010399207309105497,-0.002358267539649821,-1.5986241984861083e-05,0.0012835608575258426,-0.0008995675179586296,0.0020285858020625634,-0.0010912710079075223,0.00344836296065065,0.002547148057173822
in_sample,wf_05,1000,1514,-0.006508422240906486,0.0006129283387632236,-0.0005746476907487,0.0015418580052698474,-2.5430867617773313e-05,-0.00038359948054009197,0.0001988968171972644,-0.00024410894890971774,-0.00035975844219028185,-0.0009676888529799345,-0.0015836394416432692,0.015109522434848574,-0.0004354246385816366,0.0004641421249725527,-0.0012251766875961405,0.0006584872522316643,0.0007082228810528702,-0.00046410667740961965,0.000585560590102043,0.00013088775305628654,0.002101767871706616,0.0018948032245609376
in_sample,wf_06,10,1515,-0.005047722701466992,-0.0001243188162183053,-0.0015201700193678955,0.002358613156164459,0.0017385259550818598,-0.00031235411850377535,-0.0058110170918264205,-0.0018212127591800019,-0.0012961004119835284,-0.0012866726196754802,-0.0010638298916766458,0.014052137014137624,6.632683594838753e-05,0.0011035468561883099,-0.001916735570942497,-0.001384039403062596,0.0007077551937889899,0.0046296037129068485,0.0029570813832722575,0.000390922429902965,0.0033625752995289186,0.0017201277114756905
in_sample,wf_06,100,1515,-0.005047722701466992,-1.9549155882781257e-05,-0.001381511253321205,0.0021242102300084264,0.0013970959391753249,-0.00021889937118731728,-0.005351176469085252,-0.001993780310375619,-0.0012800612220890254,-0.001031652263362781,-0.0009977838567544893,0.014052137014137624,7.852371910005883e-05,0.0010074401505078307,-0.0017010204214683992,-0.0009737792615634406,0.0005653751830376832,0.0043169077533739145,0.0028556998980701614,0.0005932864394759886,0.002931199040956472,0.001684060361468793
in_sample,wf_06,1000,1515,-0.005047722701466992,0.000106635961590022,-0.0007251482039174177,0.001119210524516543,0.0004039839575118964,-2.9478253981359942e-05,-0.0032882687104007578,-0.001922289395847166,-0.0012604685338887078,-0.0004180667538002525,-0.0006772474875054632,0.014052137014137624,9.790444863241299e-05,0.0005592109848404604,-0.000823228777317469,0.00012081195737112775,0.00020190590251251708,0.002748579642211708,0.0021956674527507268,0.0010849216484959323,0.001597797266179889,0.0013158162338287047
in_sample,wf_07,10,1380,-0.005007411983661672,-0.000662744384261828,-0.0020774177037412227,0.0025046707566820543,0.002155931333660113,-0.0012896936101416405,-0.006713393493809575,0.0012945921722015308,-0.003230622632394677,-0.0037152695590840887,0.00067058290722893,0.013561520918117726,0.0003784360008544128,0.0015052925060038487,-0.0019617625175293064,-0.0015901493642953516,0.0013885026374321932,0.005662109065665155,0.0005262209891620463,0.0016535757207032423,0.004909806059660135,0.0006177640971915238
in_sample,wf_07,100,1380,-0.005007411983661673,-0.00032412490228550246,-0.0018639345460140296,0.0023827707728971506,0.001482881030148351,-0.0010318185355711442,-0.005805156895983111,0.00020010784715068726,-0.0025160933178950025,-0.0027748853289095692,0.0003274469773495823,0.013561520918117726,0.00023481740192624599,0.0013578752492659433,-0.0018174996121399138,-0.000982846778767939,0.0010920156254944663,0.00495395297421747,0.0010258044690274017,0.001469797895303453,0.003929452103550916,0.0008845100757921583
in_sample,wf_07,1000,1380,-0.0050074119836616745,0.0001259819029109375,-0.0009162099254170331,0.0013790273303574065,0.00024634608761337694,-0.00041119954308862106,-0.003121254359949879,-0.001149266853389844,-0.0015322521540960272,-0.0007775962299128799,-0.0002751132376048892,0.013561520918117728,3.105628067126976e-05,0.0006959903223154261,-0.0010037893981829074,0.00016128017079277825,0.0003890533368185113,0.002671545729542362,0.001474152317252596,0.001360676131257418,0.0016095652279469056,0.001101326418711845
in_sample,wf_08,10,1198,-0.0027357091644302253,-0.001544968339881179,-0.0016179585513054118,0.0016114605962279597,0.0014642320844266,-0.001028998605697458,-0.004630661210627557,0.0024805966276758152,-0.003967501094453661,-0.0031854517691478623,0.0015980152828482831,0.011265999235365724,0.0011515820110068798,0.0011658284730425598,-0.0011871246290324708,-0.0010472093799812527,0.0011620273802196328,0.004045231841374306,-0.0005620155940188373,0.002649481130044851,0.004470093303349737,-0.0004755138126111346
