sector,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
banks,77,65,12,2935012,38117.03896103896,3.082831788070071
securities,60,21,39,-3612948,-60215.8,0.16067000545003185
