ticker,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
MBB,15,15,0,808438,53895.86666666667,infinity
SSI,30,12,18,-2045826,-68194.2,0.19756613582289415
TCB,27,15,12,-811893,-30070.11111111111,0.423839988077877
VCB,32,32,0,2841390,88793.4375,infinity
VND,30,9,21,-1567122,-52237.4,0.10707130793898245
VPB,3,3,0,97077,32359,infinity
