level,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
1,63,42,21,-485730,-7710,0.817812740167953
2,41,26,15,184624,4503.024390243902,1.1198619753879913
3,24,15,9,294756,12281.5,1.3792137216608644
4,9,3,6,-671586,-74620.66666666667,0.08004060179420479
