rotation,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
2024-03,29,29,0,2174608,74986.4827586207,infinity
2024-04,12,3,9,-1473387,-122782.25,0.11690952767968239
2024-07,6,6,0,304494,50749,infinity
2024-08,21,9,12,-618840,-29468.571428571428,0.560840083880651
2024-09,18,18,0,977673,54315.166666666664,infinity
2024-10,15,6,9,-298479,-19898.6,0.4390778806363954
2024-11,33,12,21,-1841082,-55790.36363636364,0.12495936304061414
2024-12,3,3,0,97077,32359,infinity
