purpose,completed_sales,winning_sales,losing_sales,net_pnl_vnd,average_pnl_vnd,profit_factor
grid_target,83,83,0,5020256,60485.01204819277,infinity
risk_exit,33,0,33,-4801767,-145508.0909090909,0.0
scheduled_wind_down,21,3,18,-896425,-42686.90476190476,0.017013180691712173
