trial_id,fold_id,ticker,sector,signal_date,entry_date,exit_date,residual_z5,residual_1,market_return5,atr20_fraction,grid_step_fraction,initial_buy_vnd,initial_target_vnd,lower_buy_vnd,lower_target_vnd,hard_lower_vnd,lower_level_filled,target_sale_count,risk_exit,gap_risk_exit,time_exit,buy_count,sell_count,normal_target_gain_vnd,risk_time_loss_vnd,net_pnl_vnd,net_return,double_cost_net_pnl_vnd,double_cost_net_return,selected,selection_rank
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_01,MWG,consumer_retail,2023-01-10,2023-01-11,2023-01-18,-1.4507667636318067,0.006332479957984624,0.010683411494923072,0.03825321597833446,0.03,42300,43600,41050,42300,38750,False,1,False,False,False,1,1,108457,0,108457,0.02558884761591979,86919,0.020466443429482613,True,1
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_01,VPB,banks,2023-01-27,2023-01-30,2023-02-03,-1.5028903506727191,0.005733238789328806,0.07653164994065774,0.032753202803964224,0.03,19700,20300,19100,19700,18050,True,0,True,False,False,2,2,0,-333710,-333710,-0.08485108914818365,-352419,-0.08942858368138142,True,1
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_02,MWG,consumer_retail,2023-03-01,2023-03-02,2023-03-23,-0.8291348315109341,0.0015046299895985354,-0.016356025701493637,0.037056489262371616,0.03,40800,42050,39600,40800,37350,True,0,False,False,True,2,2,0,-548801,-548801,-0.06786958526787476,-587696,-0.07253416114418389,True,1
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_02,FPT,technology,2023-03-07,2023-03-08,2023-03-10,-2.623085013465399,0.002163860665704431,0.026209449300543194,0.015107565868987188,0.015107565868987188,78500,79700,77300,78500,75100,False,1,False,False,False,1,1,80404,0,80404,0.010222128255646269,40817,0.005178919967371167,True,1
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_02,VCB,banks,2023-03-07,2023-03-08,2023-03-29,-1.0882242530393071,0.004193177629515764,0.02573997660401782,0.02367998341882999,0.02367998341882999,91000,93200,88800,91000,84900,True,1,False,False,True,2,2,174935,0,259015,0.014376955485750876,168147,0.00931459427695356,True,2
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_02,HPG,materials,2023-03-15,2023-03-16,2023-04-06,-0.8100858323545856,0.004965688488735277,0.019929919300679243,0.03409344958640733,0.03,21000,21650,20350,21000,19250,True,2,False,False,False,2,2,89007,0,89007,0.02137928284632435,67719,0.01623304009394783,True,1
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_02,VND,securities,2023-03-31,2023-04-03,2023-04-06,-1.0136874841017862,0.008000574839637077,0.021947808738573035,0.034562211981566816,0.03,15950,16450,15450,15950,14600,False,1,False,False,False,1,1,41896,0,41896,0.026214589718144356,33793,0.02110229238349184,True,1
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_03,TCB,banks,2023-05-08,2023-05-09,2023-05-22,-0.8181231350174731,0.012161157885785878,0.010549429961075994,0.02437641723356009,0.02437641723356009,29450,30200,28700,29450,27400,False,1,False,False,False,1,1,60034,0,60034,0.02034416385398452,45171,0.015277277978749598,True,1
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_03,PNJ,consumer_retail,2023-05-15,2023-05-16,2023-05-24,-0.9793855774339449,0.0033505872512182076,0.020840453267816004,0.01614741641337386,0.01614741641337386,75200,76500,74000,75200,71700,False,0,True,False,False,1,1,0,-386602,-386602,-0.051306912754545866,-423096,-0.05603859666689713,True,1
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_03,HPG,materials,2023-06-01,2023-06-02,2023-06-07,-1.1373503792313284,0.0021563093869796475,0.029199804420878526,0.019804183355585224,0.019804183355585224,21500,21950,21050,21500,20300,False,1,False,False,False,1,1,34088,0,34088,0.015823038935129163,23280,0.01078498774180517,True,1
