rank,eligible,parameter_json,ridge_penalty,minimum_target_probability,risk_penalty,score_buffer,top_k,selected_campaigns,selected_targets,selected_pnl_vnd,control_pnl_vnd,incremental_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,target_gains_vnd,other_losses_vnd,grid_economic_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,target_rate_quintile_spread
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",10,0.4,1.5,0.0,1,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",10,0.4,1.5,0.0,2,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",10,0.4,1.5,0.0,3,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",10,0.4,1.5,0.001,1,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":2}",10,0.4,1.5,0.001,2,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":3}",10,0.4,1.5,0.001,3,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":1}",100,0.25,1.0,0.0,1,9,4,-574256,-296888,-277368,-37826,0.5246858655427546,-857555,-904531,760740,1334996,-574256,0.5,0.5210165561085651,2,0.5555555555555556,-0.07692307692307698
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":2}",100,0.25,1.0,0.0,2,9,4,-574256,-296888,-277368,-37826,0.5246858655427546,-857555,-904531,760740,1334996,-574256,0.5,0.5210165561085651,2,0.5555555555555556,-0.07692307692307698
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":3}",100,0.25,1.0,0.0,3,9,4,-574256,-296888,-277368,-37826,0.5246858655427546,-857555,-904531,760740,1334996,-574256,0.5,0.5210165561085651,2,0.5555555555555556,-0.07692307692307698
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":1}",100,0.25,1.0,0.001,1,7,4,-236901,-296888,59987,25830,0.7001124099011856,-464725,-567176,699890,936791,-236901,0.5,0.5971721226257312,2,0.5714285714285714,-0.07692307692307698
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":2}",100,0.25,1.0,0.001,2,7,4,-236901,-296888,59987,25830,0.7001124099011856,-464725,-567176,699890,936791,-236901,0.5,0.5971721226257312,2,0.5714285714285714,-0.07692307692307698
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":3}",100,0.25,1.0,0.001,3,7,4,-236901,-296888,59987,25830,0.7001124099011856,-464725,-567176,699890,936791,-236901,0.5,0.5971721226257312,2,0.5714285714285714,-0.07692307692307698
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",100,0.25,1.5,0.0,1,4,1,-1317095,-296888,-1020207,-371242.5,0.01923413444533388,-1467870,-1342925,102690,1419785,-1317095,0.0,1.0,2,0.75,-0.06293706293706303
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",100,0.25,1.5,0.0,2,4,1,-1317095,-296888,-1020207,-371242.5,0.01923413444533388,-1467870,-1342925,102690,1419785,-1317095,0.0,1.0,2,0.75,-0.06293706293706303
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",100,0.25,1.5,0.0,3,4,1,-1317095,-296888,-1020207,-371242.5,0.01923413444533388,-1467870,-1342925,102690,1419785,-1317095,0.0,1.0,2,0.75,-0.06293706293706303
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",100,0.25,1.5,0.001,1,3,1,-726310,-296888,-429422,-275520,0.03434201079586247,-836260,-752140,102690,829000,-726310,0.0,1.0,1,1.0,-0.06293706293706303
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":2}",100,0.25,1.5,0.001,2,3,1,-726310,-296888,-429422,-275520,0.03434201079586247,-836260,-752140,102690,829000,-726310,0.0,1.0,1,1.0,-0.06293706293706303
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":3}",100,0.25,1.5,0.001,3,3,1,-726310,-296888,-429422,-275520,0.03434201079586247,-836260,-752140,102690,829000,-726310,0.0,1.0,1,1.0,-0.06293706293706303
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":1}",100,0.4,1.0,0.0,1,9,4,-574256,-296888,-277368,-37826,0.5246858655427546,-857555,-904531,760740,1334996,-574256,0.5,0.5210165561085651,2,0.5555555555555556,-0.07692307692307698
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":2}",100,0.4,1.0,0.0,2,9,4,-574256,-296888,-277368,-37826,0.5246858655427546,-857555,-904531,760740,1334996,-574256,0.5,0.5210165561085651,2,0.5555555555555556,-0.07692307692307698
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":3}",100,0.4,1.0,0.0,3,9,4,-574256,-296888,-277368,-37826,0.5246858655427546,-857555,-904531,760740,1334996,-574256,0.5,0.5210165561085651,2,0.5555555555555556,-0.07692307692307698
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":1}",100,0.4,1.0,0.001,1,7,4,-236901,-296888,59987,25830,0.7001124099011856,-464725,-567176,699890,936791,-236901,0.5,0.5971721226257312,2,0.5714285714285714,-0.07692307692307698
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":2}",100,0.4,1.0,0.001,2,7,4,-236901,-296888,59987,25830,0.7001124099011856,-464725,-567176,699890,936791,-236901,0.5,0.5971721226257312,2,0.5714285714285714,-0.07692307692307698
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":3}",100,0.4,1.0,0.001,3,7,4,-236901,-296888,59987,25830,0.7001124099011856,-464725,-567176,699890,936791,-236901,0.5,0.5971721226257312,2,0.5714285714285714,-0.07692307692307698
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",100,0.4,1.5,0.0,1,4,1,-1317095,-296888,-1020207,-371242.5,0.01923413444533388,-1467870,-1342925,102690,1419785,-1317095,0.0,1.0,2,0.75,-0.06293706293706303
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",100,0.4,1.5,0.0,2,4,1,-1317095,-296888,-1020207,-371242.5,0.01923413444533388,-1467870,-1342925,102690,1419785,-1317095,0.0,1.0,2,0.75,-0.06293706293706303
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",100,0.4,1.5,0.0,3,4,1,-1317095,-296888,-1020207,-371242.5,0.01923413444533388,-1467870,-1342925,102690,1419785,-1317095,0.0,1.0,2,0.75,-0.06293706293706303
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",100,0.4,1.5,0.001,1,3,1,-726310,-296888,-429422,-275520,0.03434201079586247,-836260,-752140,102690,829000,-726310,0.0,1.0,1,1.0,-0.06293706293706303
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":2}",100,0.4,1.5,0.001,2,3,1,-726310,-296888,-429422,-275520,0.03434201079586247,-836260,-752140,102690,829000,-726310,0.0,1.0,1,1.0,-0.06293706293706303
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":3}",100,0.4,1.5,0.001,3,3,1,-726310,-296888,-429422,-275520,0.03434201079586247,-836260,-752140,102690,829000,-726310,0.0,1.0,1,1.0,-0.06293706293706303
